datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,109.465,0.455,0.100,52.600,76.495,52.600,-2.230,14.460,10.490,15.520,105.690,15.223,5.130,-1.215,-0.697,-0.421,-1.339,1.046,-0.575,6.130,18.254,0.598,1.814,2.127,2.094,72.745,64.813,21.091,0.578,0.488,0.307,7.894,7.595,58.345,58.345,-0.009,0.993,1.021,1.028,1.137,1.372,-0.165,1.327,0.619,0.374,0.980,0.276,0.484,0.947,2.259,1.628,1.305,252.130,249.330,246.390,245.470,226.770,241.570,241.570,241.570,-0.290,-1.403,0.913,-0.396,0.565,1.931,2.139,1.926,0.620,0.424,0.415,0
2010-06-02 10:00:00,110.377,0.459,0.200,107.800,77.136,107.800,-3.200,17.630,13.720,15.630,107.730,15.282,4.945,-1.044,-0.727,-0.140,1.974,1.319,-0.409,6.140,18.240,0.493,1.802,2.135,2.097,76.186,68.557,36.691,0.570,0.483,0.302,7.891,7.596,52.953,52.953,-0.013,0.993,1.019,1.029,1.136,1.372,-0.218,1.334,0.609,0.372,0.976,0.279,0.589,0.969,2.288,1.653,1.320,252.130,249.060,245.920,245.270,227.560,241.570,241.570,242.880,-0.099,1.639,1.100,-0.267,0.486,2.407,2.717,2.298,0.365,0.221,0.224,0
2010-06-02 10:30:00,110.202,0.458,-0.100,170.400,77.017,170.400,-3.460,16.670,13.130,15.460,106.850,15.347,4.808,-0.485,-0.615,-1.178,1.413,1.221,-0.439,6.149,18.225,0.548,1.790,2.138,2.098,79.240,71.603,50.245,0.551,0.469,0.293,7.885,7.595,49.874,49.874,-0.014,0.994,1.017,1.030,1.136,1.372,-0.217,1.342,0.606,0.369,0.973,0.308,0.627,1.069,2.318,1.686,1.339,252.130,249.060,245.980,245.980,228.220,241.570,241.570,242.880,-0.753,1.385,1.058,-0.246,0.684,2.502,2.499,2.104,0.146,0.118,0.186,0
2010-06-02 11:00:00,110.307,0.459,0.000,189.000,77.092,189.000,-3.640,16.540,12.380,17.290,107.420,15.406,4.649,-0.123,-0.469,-1.186,0.202,1.199,-0.478,6.159,18.210,0.552,1.792,2.143,2.100,78.731,70.419,48.020,0.529,0.451,0.282,7.879,7.594,46.127,46.127,-0.015,0.995,1.014,1.031,1.136,1.372,-0.189,1.341,0.596,0.364,0.969,0.217,0.634,1.035,2.327,1.696,1.344,252.130,249.060,245.980,245.980,228.590,241.570,241.570,244.620,-0.717,0.273,0.961,-0.286,0.612,2.444,2.453,2.061,0.181,0.145,0.196,0
2010-06-02 11:30:00,110.061,0.458,-0.100,201.600,76.922,201.600,-3.230,12.600,14.790,17.740,107.490,15.447,4.469,-0.177,-0.398,-1.385,0.169,0.832,-0.348,6.168,18.196,0.546,1.812,2.151,2.099,77.601,65.395,45.065,0.505,0.432,0.273,7.871,7.592,42.153,42.153,-0.013,0.996,1.012,1.032,1.136,1.372,-0.231,1.324,0.583,0.360,0.966,0.086,0.657,1.002,2.314,1.700,1.347,252.130,248.730,245.980,245.240,231.090,241.570,241.570,244.470,-0.923,0.230,0.549,-0.186,0.579,2.464,2.227,2.077,0.239,0.292,0.255,0
2010-06-02 12:00:00,109.956,0.457,0.100,220.000,76.850,220.000,-3.870,12.440,14.800,15.620,107.260,15.475,4.268,-0.210,-0.217,-1.085,-0.076,0.812,-0.346,6.178,18.182,0.546,1.851,2.157,2.099,75.382,61.231,37.444,0.476,0.415,0.265,7.857,7.588,38.113,38.113,-0.016,0.998,1.010,1.032,1.135,1.371,-0.266,1.287,0.577,0.356,0.963,0.086,0.573,0.990,2.342,1.708,1.338,252.130,247.990,245.980,244.940,231.340,241.570,242.880,243.730,-0.849,-0.188,0.568,-0.188,0.424,2.056,2.084,1.976,0.265,0.314,0.310,0
2010-06-02 12:30:00,109.518,0.456,-0.100,231.600,76.542,231.600,-3.220,10.130,13.910,14.680,105.530,15.490,4.107,-0.274,-0.069,-1.205,-0.400,0.601,-0.391,6.187,18.168,0.528,1.879,2.161,2.092,73.956,58.987,37.896,0.444,0.397,0.258,7.824,7.573,35.427,35.427,-0.013,0.999,1.008,1.033,1.135,1.371,-0.245,1.246,0.572,0.353,0.959,0.089,0.530,0.953,2.283,1.712,1.341,252.130,246.720,245.980,244.510,231.340,241.570,242.880,243.380,-0.822,-0.444,0.335,-0.218,0.472,2.009,2.376,2.400,0.267,0.328,0.238,0
2010-06-02 13:00:00,109.833,0.457,-0.100,241.600,76.762,241.600,-2.270,8.080,15.220,15.500,107.300,15.494,3.973,-0.201,0.033,-0.899,0.109,0.409,-0.322,6.196,18.153,0.527,1.896,2.159,2.082,75.616,61.600,53.458,0.409,0.378,0.252,7.779,7.553,33.527,33.527,-0.009,1.000,1.007,1.033,1.135,1.371,-0.180,1.206,0.574,0.351,0.958,0.064,0.396,0.974,2.229,1.716,1.344,252.130,246.390,245.980,244.240,231.340,241.570,243.380,243.380,-0.737,-0.038,0.136,-0.174,0.670,1.972,2.352,2.326,0.083,0.204,0.243,0
2010-06-02 13:30:00,109.378,0.455,0.100,274.400,76.451,274.400,-2.020,8.730,13.270,15.220,105.430,15.494,3.855,-0.236,-0.049,-0.769,0.043,0.464,-0.423,6.205,18.139,0.526,1.912,2.158,2.074,71.309,54.818,26.455,0.371,0.359,0.245,7.727,7.528,31.903,31.903,-0.008,1.000,1.005,1.033,1.135,1.371,-0.144,1.165,0.576,0.347,0.955,0.123,0.300,0.988,2.235,1.729,1.354,252.130,245.980,245.240,244.240,231.340,241.570,242.230,242.230,-0.642,0.067,0.285,-0.249,0.601,1.507,2.043,2.062,0.290,0.364,0.326,0
2010-06-02 14:00:00,109.360,0.455,-0.000,284.000,76.438,284.000,-2.060,9.100,13.850,14.300,105.590,15.495,3.736,-0.335,-0.098,-1.003,-0.495,0.491,-0.392,6.214,18.125,0.529,1.926,2.151,2.067,72.348,56.453,34.165,0.331,0.339,0.237,7.674,7.503,30.356,30.356,-0.008,0.999,1.004,1.034,1.135,1.371,-0.133,1.123,0.583,0.341,0.953,0.122,0.274,0.983,2.234,1.734,1.356,252.130,245.980,244.940,244.080,231.340,241.570,242.230,242.230,-0.908,-0.715,0.350,-0.227,0.486,1.827,1.735,1.865,0.301,0.361,0.324,0
