datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,131.761,0.722,-0.200,23.200,121.085,23.200,-0.260,13.140,15.190,16.810,10.240,0.633,8.092,-0.827,-0.459,0.865,-0.276,1.926,1.507,-1.095,-0.730,1.004,1.935,1.971,1.633,83.133,79.878,21.036,0.863,0.761,0.622,4.851,4.214,99.337,99.337,-0.002,0.995,1.050,1.039,0.978,0.996,0.331,2.017,1.013,0.560,0.134,0.152,0.285,1.301,2.128,1.667,1.244,175.440,175.440,173.230,171.660,155.230,170.290,170.290,170.290,0.679,0.267,1.474,1.245,0.643,2.311,1.950,1.505,0.312,0.310,0.274,0
2010-06-02 10:00:00,132.656,0.727,0.100,83.200,121.912,83.200,-0.940,15.730,16.520,16.900,12.100,0.774,7.904,-0.490,-0.461,1.295,0.769,2.369,1.647,-1.053,-0.725,0.591,1.974,1.978,1.633,87.488,85.073,41.424,0.861,0.761,0.620,4.856,4.221,95.904,95.904,-0.005,0.995,1.047,1.040,0.978,0.997,0.024,1.981,1.007,0.555,0.132,0.136,0.439,0.908,2.133,1.673,1.241,175.440,175.440,172.530,172.530,155.230,170.290,170.290,170.930,0.948,1.495,1.485,1.352,0.599,3.064,2.554,2.038,0.396,0.458,0.274,1
2010-06-02 10:30:00,132.696,0.727,-0.000,136.600,121.947,136.600,-1.860,15.670,16.520,16.290,11.240,0.920,7.715,-0.015,-0.341,1.105,1.146,2.322,1.647,-1.010,-0.720,0.562,2.012,1.984,1.636,87.930,85.601,51.788,0.855,0.757,0.617,4.856,4.226,92.420,92.420,-0.011,0.997,1.045,1.041,0.979,0.997,-0.183,1.940,0.999,0.545,0.130,0.123,0.545,0.763,2.160,1.682,1.232,175.440,174.600,172.690,172.690,155.230,170.290,170.290,171.150,0.913,0.886,1.489,1.397,0.722,2.568,2.221,1.783,0.688,0.535,0.493,1
2010-06-02 11:00:00,132.452,0.725,0.200,151.800,121.728,151.800,-2.330,17.040,15.780,15.160,11.360,1.072,7.536,0.206,-0.178,1.156,0.032,2.551,1.566,-0.967,-0.715,0.551,2.039,1.991,1.638,86.617,83.993,46.278,0.851,0.753,0.618,4.847,4.227,89.171,89.171,-0.013,0.998,1.042,1.042,0.980,0.997,-0.175,1.914,0.990,0.535,0.129,0.079,0.482,0.719,2.165,1.683,1.226,175.440,174.180,172.690,172.690,155.390,170.290,170.290,172.000,0.968,0.038,1.494,1.331,0.607,2.981,2.550,1.969,0.706,0.483,0.468,1
2010-06-02 11:30:00,132.249,0.724,-0.200,162.000,121.538,162.000,-0.050,16.350,14.610,14.830,11.620,1.229,7.400,0.180,-0.068,0.975,-0.277,2.385,1.437,-0.924,-0.710,0.488,2.054,1.997,1.639,86.548,83.816,64.853,0.847,0.749,0.621,4.827,4.222,87.018,87.018,-0.000,0.999,1.040,1.043,0.981,0.998,-0.133,1.901,0.982,0.526,0.129,0.035,0.516,0.606,2.177,1.667,1.217,175.440,173.230,172.690,172.480,155.400,170.290,170.290,172.000,0.763,-0.704,1.481,1.268,0.328,2.195,2.121,1.646,0.601,0.484,0.472,0
2010-06-02 12:00:00,132.818,0.727,0.200,185.000,122.068,185.000,1.220,16.300,15.620,15.030,12.800,1.379,7.351,0.128,0.021,0.738,0.483,2.328,1.544,-0.880,-0.704,0.392,2.059,1.997,1.635,87.585,85.063,73.356,0.845,0.748,0.628,4.797,4.211,87.090,87.090,0.007,1.000,1.039,1.045,0.981,0.998,-0.018,1.892,0.981,0.519,0.131,0.049,0.370,0.567,2.161,1.668,1.214,175.440,173.230,172.750,172.750,155.400,170.290,170.930,171.790,0.555,0.332,1.495,1.302,0.359,1.534,1.875,1.572,1.000,0.808,0.711,0
2010-06-02 12:30:00,132.940,0.728,0.100,237.000,122.181,237.000,0.100,16.820,15.620,15.140,13.500,1.537,7.298,0.298,0.160,0.775,0.861,2.385,1.543,-0.836,-0.698,0.385,2.053,1.998,1.631,88.995,86.760,83.501,0.847,0.747,0.635,4.768,4.202,87.244,87.244,0.001,1.002,1.037,1.046,0.982,0.998,0.061,1.897,0.978,0.512,0.132,0.110,0.315,0.567,2.168,1.674,1.215,175.440,173.280,173.280,173.280,155.400,170.290,171.150,171.790,0.590,1.044,1.491,1.259,0.379,1.785,2.155,1.720,1.000,0.752,0.638,0
2010-06-02 13:00:00,132.574,0.726,0.000,251.800,121.841,251.800,-0.800,16.130,15.620,14.920,13.660,1.693,7.207,0.464,0.257,0.840,-0.411,2.233,1.549,-0.791,-0.692,0.375,2.041,2.000,1.629,88.248,85.862,77.480,0.854,0.743,0.640,4.740,4.192,86.749,86.749,-0.005,1.003,1.036,1.047,0.982,0.998,0.024,1.909,0.973,0.501,0.132,0.101,0.254,0.552,2.171,1.675,1.216,175.440,173.280,173.280,173.280,155.400,170.290,171.790,172.430,0.689,-0.264,1.498,1.220,0.553,2.251,2.204,1.705,0.412,0.298,0.311,1
2010-06-02 13:30:00,132.290,0.725,-0.000,267.600,121.587,267.600,-0.160,16.190,15.100,15.530,13.080,1.847,7.111,0.243,0.234,0.819,-0.902,2.217,1.494,-0.746,-0.685,0.375,2.025,2.002,1.629,85.939,82.885,58.863,0.858,0.737,0.645,4.712,4.182,86.037,86.037,-0.001,1.002,1.034,1.049,0.983,0.999,-0.019,1.922,0.968,0.489,0.133,0.047,0.201,0.543,2.181,1.675,1.211,175.440,173.280,173.280,173.010,155.670,170.290,171.790,171.910,0.686,-0.838,1.495,1.205,0.334,2.183,2.204,1.679,0.777,0.586,0.520,1
2010-06-02 14:00:00,131.883,0.722,0.000,276.600,121.213,276.600,0.310,15.400,14.880,14.460,11.950,1.996,7.018,-0.025,0.198,0.698,-0.956,2.055,1.474,-0.701,-0.678,0.369,2.017,2.003,1.629,83.893,79.910,42.363,0.863,0.731,0.649,4.685,4.173,85.286,85.286,0.002,1.002,1.032,1.050,0.984,0.999,-0.024,1.928,0.966,0.478,0.133,0.041,0.206,0.505,2.190,1.668,1.205,175.440,173.280,173.280,172.330,156.110,170.290,171.540,171.540,0.663,-1.049,1.492,1.228,0.273,1.837,1.931,1.496,1.000,0.769,0.685,0
