datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,11.003,0.057,-0.300,4.400,109.647,4.400,3.000,1.510,2.080,2.200,1.210,1.076,0.286,1.734,1.066,0.953,0.178,0.250,0.266,0.030,1.821,0.488,1.745,1.928,2.050,84.444,75.105,97.472,0.212,0.132,0.151,3.057,3.049,47.238,47.238,0.029,1.011,0.991,1.026,0.998,1.088,0.331,-0.023,-0.039,0.138,0.063,0.174,0.478,1.479,1.168,1.490,1.639,108.280,107.050,107.050,107.050,102.750,102.830,103.620,105.890,0.684,0.064,0.152,0.667,0.512,1.839,2.242,2.118,0.148,0.118,0.228,0
2010-06-02 10:00:00,10.982,0.057,-0.100,11.400,109.451,11.400,2.490,2.570,2.640,1.510,1.400,1.111,0.471,1.844,1.306,1.386,-0.243,0.533,0.382,0.037,1.817,0.489,1.769,1.937,2.057,82.072,71.308,90.689,0.212,0.137,0.152,3.076,3.059,53.647,53.647,0.024,1.013,0.993,1.026,0.998,1.088,0.410,0.000,-0.005,0.132,0.060,0.177,0.608,1.163,1.161,1.464,1.636,108.280,107.090,107.090,107.090,102.750,102.830,104.900,106.330,0.757,-0.352,0.403,0.896,0.476,3.133,2.841,2.261,0.658,0.213,0.287,0
2010-06-02 10:30:00,10.978,0.057,0.000,18.400,109.410,18.400,2.690,1.540,3.610,1.190,1.790,1.138,0.634,1.482,1.223,1.140,-0.703,0.251,0.586,0.044,1.814,0.517,1.793,1.944,2.062,78.983,66.365,84.272,0.213,0.144,0.153,3.095,3.068,58.459,58.459,0.026,1.012,0.994,1.026,0.999,1.088,0.401,0.035,0.025,0.129,0.059,0.057,0.464,1.110,1.161,1.465,1.636,108.280,107.090,107.090,107.090,102.750,102.830,105.610,106.100,0.617,-0.638,0.219,1.170,0.485,2.491,2.210,2.016,0.650,0.322,0.351,0
2010-06-02 11:00:00,10.958,0.057,0.000,20.400,109.205,20.400,2.610,1.140,2.500,0.780,1.350,1.157,0.817,1.065,1.106,1.132,-0.700,0.141,0.360,0.051,1.811,0.514,1.821,1.951,2.067,77.627,64.195,81.455,0.216,0.153,0.155,3.113,3.078,62.988,62.988,0.025,1.011,0.996,1.026,0.999,1.087,0.392,0.077,0.058,0.124,0.058,0.041,0.452,1.014,1.158,1.461,1.628,108.280,107.090,107.090,106.500,102.750,102.830,105.770,106.100,0.626,-1.024,0.098,0.929,0.589,2.281,2.215,2.042,0.675,0.552,0.528,0
2010-06-02 11:30:00,10.913,0.057,-0.300,28.600,108.763,28.600,2.410,0.470,1.950,0.590,0.750,1.169,1.011,0.834,0.937,0.903,-1.160,-0.040,0.252,0.059,1.807,0.511,1.850,1.961,2.072,74.802,59.675,75.587,0.216,0.162,0.157,3.131,3.087,67.046,67.046,0.023,1.009,0.998,1.027,0.999,1.087,0.419,0.116,0.090,0.124,0.057,0.048,0.382,0.971,1.165,1.463,1.621,108.280,107.090,107.090,106.540,102.750,102.830,105.870,105.870,0.769,-0.939,-0.021,0.724,0.581,2.190,1.836,1.820,0.642,0.689,0.588,0
2010-06-02 12:00:00,10.909,0.057,0.100,33.400,108.722,33.400,2.650,-1.440,2.420,0.630,0.870,1.161,1.188,0.343,0.682,0.691,-0.968,-0.540,0.350,0.066,1.804,0.533,1.865,1.966,2.077,71.563,54.491,68.858,0.212,0.173,0.161,3.149,3.097,70.262,70.262,0.026,1.007,1.000,1.026,0.999,1.087,0.410,0.136,0.123,0.122,0.057,0.066,0.339,0.941,1.126,1.463,1.614,108.280,107.090,107.090,106.540,102.750,102.830,105.670,105.670,0.542,-1.171,-0.333,1.016,0.555,2.208,2.089,2.099,-0.188,0.040,0.205,1
2010-06-02 12:30:00,10.880,0.057,0.100,37.400,108.434,37.400,2.250,-0.700,2.330,0.640,0.550,1.143,1.364,-0.141,0.331,0.435,-0.768,-0.350,0.334,0.073,1.801,0.533,1.881,1.973,2.082,68.249,49.186,58.462,0.203,0.185,0.164,3.163,3.104,73.059,73.059,0.022,1.003,1.002,1.026,0.999,1.087,0.389,0.151,0.153,0.119,0.056,0.045,0.170,0.936,1.107,1.456,1.613,108.280,107.090,107.090,105.830,102.750,103.190,105.390,105.390,0.307,-0.607,-0.181,1.089,0.502,1.998,1.764,1.947,-0.183,0.059,0.185,1
2010-06-02 13:00:00,10.884,0.057,0.000,39.400,108.475,39.400,1.690,-0.900,2.210,0.470,0.750,1.126,1.500,-0.384,-0.021,0.389,-0.633,-0.403,0.310,0.080,1.798,0.530,1.890,1.969,2.085,69.002,50.392,51.317,0.194,0.199,0.166,3.169,3.107,75.112,75.112,0.016,1.000,1.004,1.026,1.000,1.087,0.349,0.163,0.185,0.114,0.054,0.032,0.149,0.909,1.108,1.455,1.607,108.280,107.090,106.540,105.830,102.750,103.980,105.390,105.390,0.244,-0.617,-0.209,0.970,0.474,1.773,1.889,2.025,-0.193,0.235,0.270,1
2010-06-02 13:30:00,10.884,0.057,0.000,42.000,108.475,42.000,-0.180,0.080,1.980,0.840,0.750,1.113,1.550,-0.467,-0.197,0.374,-0.223,-0.147,0.264,0.087,1.795,0.442,1.889,1.959,2.086,69.605,51.356,18.345,0.182,0.212,0.168,3.158,3.102,75.886,75.886,-0.002,0.998,1.004,1.026,1.000,1.087,0.224,0.160,0.209,0.104,0.052,0.029,0.149,0.772,1.102,1.455,1.606,108.280,107.090,106.540,105.630,102.750,105.390,105.390,105.430,0.254,0.191,-0.032,1.086,0.347,1.623,1.714,1.944,0.230,0.462,0.385,0
2010-06-02 14:00:00,10.884,0.057,0.000,43.200,108.475,43.200,-0.180,-0.750,1.940,0.640,1.190,1.102,1.510,-0.439,-0.300,0.504,-0.075,-0.366,0.257,0.095,1.792,0.321,1.887,1.950,2.086,69.303,50.874,10.196,0.159,0.219,0.168,3.135,3.091,74.823,74.823,-0.002,0.997,1.004,1.026,1.000,1.087,0.042,0.140,0.222,0.091,0.048,0.028,0.168,0.664,1.094,1.455,1.606,108.280,107.090,106.540,105.590,102.750,105.390,105.390,105.510,0.730,0.124,-0.190,1.264,0.335,1.863,1.989,2.053,0.033,0.197,0.254,1
