datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,89.755,0.607,0.000,7.500,90.303,7.500,-4.740,5.490,0.270,-10.000,-18.910,-5.745,2.798,-1.023,-0.269,-0.129,-2.775,1.017,0.242,-5.605,-4.261,0.428,1.127,1.246,1.560,59.172,55.754,0.000,0.728,0.305,0.041,5.432,5.965,84.191,84.191,-0.017,0.997,1.017,1.000,0.931,0.966,-0.081,0.933,0.138,-0.084,-0.082,0.373,0.605,1.274,1.515,1.167,0.848,280.340,280.340,279.770,278.540,265.770,273.870,273.870,273.870,-0.092,-1.794,1.199,0.236,0.539,1.452,1.245,1.653,0.279,0.032,-0.062,0
2010-06-02 10:00:00,90.025,0.609,0.000,21.500,90.576,21.500,-3.030,8.500,2.890,-6.740,-18.690,-5.700,2.677,-1.543,-0.494,-0.033,-0.135,1.440,0.426,-5.573,-4.273,0.439,1.161,1.236,1.561,63.606,60.558,21.171,0.725,0.303,0.040,5.461,5.976,75.429,75.429,-0.011,0.995,1.015,1.000,0.931,0.966,-0.214,0.907,0.145,-0.087,-0.083,0.247,0.647,1.334,1.504,1.175,0.851,280.340,280.340,279.400,274.770,265.770,273.050,273.050,273.050,-0.106,0.038,1.283,0.477,0.484,1.424,1.194,1.455,0.239,-0.094,-0.065,0
2010-06-02 10:30:00,89.872,0.608,-0.200,29.000,90.425,29.000,-5.890,7.160,5.080,-9.210,-19.160,-5.648,2.521,-1.309,-0.618,0.089,0.611,1.236,0.583,-5.541,-4.286,0.395,1.208,1.227,1.558,64.767,61.817,24.149,0.712,0.300,0.039,5.490,5.986,66.000,66.000,-0.021,0.994,1.013,1.001,0.932,0.966,-0.253,0.868,0.150,-0.091,-0.083,0.155,0.756,1.127,1.508,1.168,0.852,280.340,280.200,279.050,275.350,265.770,273.050,273.050,273.050,-0.047,0.657,0.977,0.672,0.365,1.991,1.487,1.699,0.323,0.142,-0.128,0
2010-06-02 11:00:00,90.952,0.615,0.100,67.400,91.516,67.400,-1.660,10.980,7.770,-4.340,-21.290,-5.590,2.392,-0.850,-0.678,0.030,1.986,1.763,0.772,-5.509,-4.298,0.442,1.240,1.211,1.548,78.932,77.168,55.431,0.692,0.298,0.037,5.516,5.995,59.934,59.934,-0.006,0.993,1.012,1.002,0.932,0.966,-0.247,0.839,0.159,-0.093,-0.084,0.268,0.738,1.312,1.562,1.197,0.868,280.340,280.200,279.050,277.550,265.770,273.050,273.050,274.100,-0.237,1.647,1.061,0.848,0.483,1.014,0.975,1.237,0.474,0.368,0.089,0
2010-06-02 11:30:00,90.905,0.615,-0.100,102.500,91.470,102.500,-2.130,11.050,7.440,-4.260,-22.750,-5.519,2.315,-0.230,-0.665,0.196,1.750,1.755,0.749,-5.477,-4.310,0.501,1.250,1.201,1.537,82.795,81.309,64.595,0.653,0.283,0.031,5.541,6.004,57.123,57.123,-0.008,0.993,1.010,1.002,0.932,0.966,-0.156,0.828,0.169,-0.091,-0.085,0.367,0.767,1.457,1.611,1.231,0.882,280.340,280.130,278.540,278.480,265.820,273.050,273.050,274.100,0.003,1.355,1.071,0.778,0.576,1.201,1.038,1.293,0.415,0.257,0.028,0
2010-06-02 12:00:00,91.034,0.616,0.100,107.000,91.602,107.000,-1.260,11.230,8.500,-2.760,-21.830,-5.452,2.236,0.115,-0.608,-0.197,0.249,1.762,0.826,-5.444,-4.322,0.501,1.263,1.191,1.525,82.309,80.762,63.512,0.608,0.268,0.024,5.566,6.012,54.313,54.313,-0.005,0.994,1.009,1.003,0.933,0.966,-0.102,0.811,0.177,-0.089,-0.086,0.200,0.635,1.438,1.620,1.234,0.881,280.340,280.130,278.480,278.480,265.820,273.050,273.050,277.050,-0.443,0.309,1.102,0.786,0.553,1.209,1.063,1.317,0.423,0.262,0.027,0
2010-06-02 12:30:00,90.658,0.613,-0.100,110.600,91.223,110.600,-3.180,10.330,7.530,-4.280,-23.390,-5.386,2.132,0.048,-0.357,-0.748,-0.180,1.623,0.760,-5.412,-4.334,0.497,1.282,1.181,1.510,77.750,75.803,54.945,0.563,0.253,0.019,5.589,6.020,50.359,50.359,-0.011,0.996,1.008,1.004,0.933,0.966,-0.129,0.789,0.184,-0.087,-0.088,0.041,0.517,1.468,1.592,1.236,0.882,280.340,279.910,278.480,277.810,265.820,273.050,273.050,276.660,-0.869,-0.086,1.104,0.746,0.488,1.766,1.319,1.464,0.195,0.144,0.081,0
2010-06-02 13:00:00,90.752,0.614,-0.100,113.600,91.318,113.600,-2.520,10.360,6.860,-4.220,-21.710,-5.320,2.031,0.051,-0.089,-0.582,-0.200,1.611,0.712,-5.379,-4.345,0.498,1.299,1.173,1.493,78.890,77.043,60.254,0.517,0.238,0.013,5.607,6.026,46.714,46.714,-0.009,0.999,1.006,1.004,0.933,0.966,-0.153,0.770,0.191,-0.087,-0.089,0.033,0.460,1.481,1.585,1.238,0.883,280.340,279.550,278.480,277.630,265.820,273.050,274.100,276.660,-0.639,-0.234,1.135,0.663,0.481,1.907,1.425,1.480,0.189,0.068,-0.150,1
2010-06-02 13:30:00,90.682,0.614,-0.100,115.700,91.249,115.700,-2.510,10.520,6.360,-3.840,-21.480,-5.254,1.939,0.078,0.109,-0.234,0.222,1.621,0.677,-5.346,-4.356,0.498,1.311,1.165,1.478,77.496,75.071,58.845,0.487,0.223,0.008,5.620,6.029,43.639,43.639,-0.009,1.001,1.005,1.005,0.933,0.966,-0.145,0.757,0.197,-0.086,-0.090,0.026,0.441,1.453,1.588,1.239,0.882,280.340,279.400,278.480,277.340,266.220,273.050,274.100,276.700,-0.402,0.158,1.075,0.662,0.459,1.713,1.348,1.436,0.194,-0.094,-0.237,1
2010-06-02 14:00:00,90.506,0.612,-0.000,118.900,91.071,118.900,-2.540,9.500,5.890,-4.410,-23.990,-5.191,1.852,0.074,0.224,-0.300,-0.175,1.463,0.646,-5.313,-4.367,0.498,1.324,1.156,1.462,75.301,71.126,56.500,0.445,0.209,0.002,5.627,6.030,40.852,40.852,-0.009,1.002,1.004,1.006,0.934,0.966,-0.134,0.741,0.204,-0.085,-0.091,0.028,0.271,1.402,1.589,1.237,0.883,280.340,279.050,278.480,277.200,267.070,273.050,276.200,276.200,-0.404,-0.146,1.301,0.634,0.566,1.462,1.134,1.439,0.229,0.028,0.079,1
