datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,77.672,0.078,-0.300,1.000,65.653,5.000,-0.900,-0.010,-1.190,-2.480,-2.650,-4.871,0.600,-1.013,-0.215,-1.134,-2.972,0.381,-0.625,-0.772,-0.317,0.350,0.958,1.056,1.091,36.767,28.824,4.290,0.351,0.130,-0.050,0.786,0.862,33.007,33.007,-0.018,0.998,1.004,0.980,0.950,0.977,-0.180,0.498,-0.086,-0.147,-0.000,0.289,0.567,1.556,1.462,1.054,0.672,50.620,50.150,50.150,49.850,48.550,49.030,49.030,49.030,-0.720,-1.979,0.461,-0.465,0.344,1.106,1.353,1.222,-0.268,-0.253,-0.184,0
2010-06-02 10:00:00,77.874,0.078,0.100,2.200,65.828,11.000,-0.780,0.460,-0.840,-2.340,-2.000,-4.857,0.477,-1.315,-0.400,-1.635,0.470,0.758,-0.428,-0.771,-0.320,0.357,0.996,1.065,1.096,35.622,27.536,8.036,0.349,0.129,-0.049,0.792,0.864,26.875,26.875,-0.016,0.996,1.002,0.980,0.950,0.977,-0.244,0.456,-0.098,-0.154,-0.007,0.113,0.561,1.488,1.461,1.058,0.671,50.620,50.150,50.060,49.350,48.550,49.030,49.030,49.030,-0.927,0.365,0.730,-0.231,0.336,1.623,1.444,1.352,-0.420,-0.420,-0.200,0
2010-06-02 10:30:00,77.931,0.078,0.000,4.400,65.881,22.000,-0.760,0.410,-0.990,-2.570,-1.940,-4.839,0.366,-1.250,-0.552,-1.487,1.091,0.711,-0.510,-0.771,-0.324,0.358,1.026,1.067,1.099,38.913,31.240,14.881,0.345,0.128,-0.049,0.797,0.866,22.786,22.786,-0.015,0.994,1.001,0.981,0.950,0.977,-0.263,0.420,-0.100,-0.162,-0.013,0.039,0.415,1.427,1.468,1.063,0.671,50.620,50.150,50.000,49.200,48.550,49.030,49.030,49.030,-0.931,0.899,0.556,-0.366,0.309,1.577,1.292,1.362,-0.257,-0.309,-0.156,0
2010-06-02 11:00:00,78.592,0.079,0.100,11.600,66.430,58.000,-0.450,0.940,-0.540,-1.850,-1.430,-4.811,0.274,-0.867,-0.644,-0.966,1.913,1.136,-0.254,-0.770,-0.327,0.383,1.049,1.069,1.102,51.645,44.499,41.369,0.340,0.126,-0.051,0.802,0.868,20.004,20.004,-0.009,0.994,0.999,0.981,0.950,0.977,-0.228,0.396,-0.101,-0.168,-0.017,0.108,0.477,1.415,1.474,1.076,0.675,50.620,50.150,50.000,49.610,48.590,49.030,49.030,49.160,-0.756,1.294,0.851,-0.098,0.492,1.351,1.145,1.236,-0.024,-0.136,-0.066,1
2010-06-02 11:30:00,79.181,0.080,-0.100,29.600,66.939,148.000,-0.120,1.280,-0.250,-1.480,-1.150,-4.771,0.235,-0.219,-0.640,-0.367,2.452,1.400,-0.088,-0.769,-0.330,0.436,1.057,1.068,1.102,71.674,66.045,83.036,0.323,0.119,-0.057,0.807,0.870,18.916,18.916,-0.002,0.994,0.999,0.981,0.950,0.977,-0.149,0.384,-0.099,-0.171,-0.020,0.250,0.556,1.552,1.556,1.112,0.672,50.620,50.150,50.020,50.020,48.680,49.030,49.030,49.180,-0.366,1.514,1.184,0.048,0.500,1.161,1.118,1.169,-0.047,-0.129,-0.322,1
2010-06-02 12:00:00,78.721,0.079,0.000,37.400,66.551,187.000,-0.230,0.940,-0.920,-2.100,-1.440,-4.737,0.199,0.138,-0.544,-0.277,0.364,1.115,-0.462,-0.769,-0.333,0.453,1.064,1.068,1.102,58.655,50.086,55.952,0.297,0.105,-0.062,0.812,0.872,17.818,17.818,-0.005,0.995,0.998,0.982,0.949,0.976,-0.091,0.367,-0.104,-0.175,-0.023,0.272,0.478,1.432,1.601,1.123,0.668,50.620,50.150,50.020,50.020,48.690,49.030,49.030,49.520,-0.123,0.352,0.991,-0.420,0.392,1.381,1.234,1.293,-0.207,-0.303,-0.360,1
2010-06-02 12:30:00,78.506,0.079,-0.200,38.100,66.377,190.500,-0.390,0.770,-0.800,-2.160,-1.220,-4.703,0.162,0.066,-0.353,-0.729,-0.982,0.968,-0.395,-0.768,-0.336,0.452,1.071,1.069,1.103,57.511,48.705,53.571,0.269,0.088,-0.065,0.817,0.874,16.729,16.729,-0.008,0.996,0.997,0.982,0.949,0.976,-0.094,0.351,-0.111,-0.179,-0.026,0.092,0.402,1.392,1.603,1.123,0.667,50.620,50.150,50.020,49.710,48.690,49.030,49.030,49.570,-0.545,-0.634,0.963,-0.321,0.384,1.164,1.001,1.107,-0.038,-0.195,-0.299,1
2010-06-02 13:00:00,78.621,0.079,-0.100,38.500,66.470,192.500,-0.440,0.790,-0.750,-1.850,-1.090,-4.672,0.122,0.111,-0.108,-0.548,-0.030,0.976,-0.365,-0.767,-0.339,0.450,1.078,1.068,1.103,58.798,50.259,56.250,0.246,0.071,-0.072,0.822,0.876,15.649,15.649,-0.009,0.999,0.996,0.983,0.949,0.976,-0.098,0.338,-0.120,-0.182,-0.028,0.012,0.405,1.351,1.607,1.113,0.665,50.620,50.150,50.020,49.700,48.690,49.030,49.160,49.570,-0.433,0.057,0.981,-0.260,0.416,1.154,1.009,1.138,-0.009,-0.187,-0.283,1
2010-06-02 13:30:00,78.621,0.079,0.000,38.900,66.470,194.500,-0.370,0.890,-0.710,-1.780,-1.040,-4.642,0.063,0.147,0.113,-0.467,0.348,1.051,-0.341,-0.766,-0.343,0.445,1.088,1.070,1.103,57.654,48.877,60.943,0.226,0.053,-0.084,0.825,0.877,14.260,14.260,-0.007,1.001,0.995,0.983,0.949,0.976,-0.120,0.325,-0.129,-0.186,-0.029,0.009,0.406,1.286,1.611,1.112,0.662,50.620,50.020,50.020,49.670,48.690,49.030,49.180,49.580,-0.430,0.229,1.167,-0.287,0.574,0.994,0.937,1.012,0.065,-0.103,-0.247,1
2010-06-02 14:00:00,78.707,0.079,0.000,39.300,66.537,196.500,-0.270,0.860,-0.540,-1.630,-1.040,-4.612,0.023,0.189,0.261,-0.362,0.292,1.019,-0.244,-0.765,-0.346,0.444,1.092,1.070,1.097,59.371,50.950,64.983,0.212,0.035,-0.100,0.828,0.878,13.366,13.366,-0.005,1.003,0.995,0.984,0.949,0.976,-0.119,0.318,-0.136,-0.187,-0.031,0.011,0.396,1.058,1.616,1.112,0.660,50.620,50.020,50.020,49.690,48.690,49.030,49.520,49.580,-0.397,0.221,1.276,-0.163,0.507,0.869,0.805,0.774,0.115,-0.191,-0.310,1
2010-06-02 14:30:00,78.405,0.079,-0.400,40.100,66.283,200.500,-0.370,0.590,-0.930,-1.910,-1.380,-4.584,-0.016,0.227,0.255,-0.674,-0.246,0.796,-0.462,-0.764,-0.349,0.446,1.098,1.070,1.092,56.509,47.496,58.249,0.191,0.023,-0.117,0.831,0.879,12.520,12.520,-0.007,1.003,0.994,0.984,0.949,0.976,-0.097,0.306,-0.142,-0.189,-0.034,0.018,0.154,1.030,1.630,1.113,0.655,50.620,50.020,49.710,49.690,48.690,49.030,49.500,49.500,-0.543,-0.153,1.339,-0.411,0.376,0.917,1.050,0.905,0.127,0.124,-0.127,1
2010-06-02 15:00:00,78.563,0.079,-0.100,40.600,66.417,203.000,-0.250,0.910,-0.460,-1.760,-1.280,-4.553,-0.047,0.219,0.275,-0.329,-0.123,1.048,-0.196,-0.764,-0.352,0.447,1.103,1.071,1.087,58.369,49.741,62.626,0.172,0.006,-0.136,0.833,0.880,11.844,11.844,-0.005,1.003,0.993,0.984,0.949,0.976,-0.089,0.298,-0.147,-0.189,-0.036,0.020,0.050,0.966,1.629,1.110,0.655,50.620,50.020,49.700,49.690,48.690,49.030,49.500,49.500,-0.399,-0.840,1.449,-0.111,0.384,1.070,1.056,0.847,-0.441,-0.427,-0.467,1
2010-06-02 15:30:00,78.621,0.079,0.100,45.300,66.470,226.500,0.300,0.790,-0.580,-1.580,-1.540,-4.523,0.011,0.145,0.201,-0.127,0.413,0.945,-0.261,-0.763,-0.355,0.329,1.103,1.073,1.081,56.652,42.176,58.586,0.188,0.025,-0.140,0.836,0.881,17.628,17.628,0.006,1.002,0.993,0.985,0.949,0.976,0.011,0.308,-0.140,-0.184,-0.037,0.116,0.160,0.687,1.612,1.113,0.656,50.620,50.020,49.690,49.690,49.030,49.030,49.500,49.500,-0.163,0.091,1.365,-0.194,0.333,1.000,1.091,0.885,-0.173,-0.241,-0.320,0
2010-06-03 09:30:00,78.563,0.079,-0.200,1.700,66.430,8.500,0.580,0.510,-0.410,-1.760,-1.500,-4.512,0.060,0.177,0.163,-0.267,-0.418,0.719,-0.164,-0.762,-0.357,0.330,1.105,1.075,1.077,61.373,43.396,69.697,0.188,0.026,-0.143,0.837,0.881,22.611,22.611,0.012,1.002,0.994,0.985,0.949,0.976,0.084,0.315,-0.137,-0.181,-0.036,0.133,0.177,0.690,1.616,1.115,0.655,50.620,50.020,49.840,49.840,49.030,49.030,49.500,49.540,-0.447,-1.049,1.421,-0.116,0.221,1.230,1.422,1.095,-0.177,-0.100,-0.219,0
2010-06-03 10:00:00,78.750,0.079,0.000,3.100,66.577,15.500,0.560,0.070,-0.220,-1.750,-1.490,-4.497,0.161,0.167,0.085,-0.139,0.412,0.370,-0.054,-0.761,-0.360,0.308,1.105,1.082,1.070,60.658,42.348,63.623,0.188,0.027,-0.145,0.838,0.881,31.821,31.821,0.011,1.001,0.995,0.985,0.949,0.976,0.169,0.320,-0.124,-0.175,-0.034,0.119,0.194,0.716,1.564,1.117,0.658,50.620,50.020,49.840,49.840,49.030,49.160,49.500,49.590,-0.254,0.516,1.093,-0.019,0.196,1.434,1.502,1.266,-0.357,-0.256,-0.245,0
2010-06-03 10:30:00,78.319,0.079,-0.100,5.700,66.216,28.500,0.250,-0.390,-0.340,-1.990,-1.810,-4.497,0.231,0.018,0.001,-0.514,-1.005,0.013,-0.122,-0.760,-0.363,0.330,1.091,1.085,1.063,49.928,26.625,32.540,0.183,0.029,-0.148,0.839,0.881,37.197,37.197,0.005,1.000,0.995,0.985,0.949,0.975,0.164,0.304,-0.115,-0.170,-0.033,0.087,0.247,0.730,1.549,1.122,0.659,50.620,50.020,49.840,49.720,49.030,49.180,49.400,49.400,-0.647,-1.072,0.470,-0.070,0.328,1.185,1.290,1.260,-0.221,-0.152,-0.204,0
2010-06-03 11:00:00,78.161,0.079,0.000,7.800,66.082,39.000,-0.260,-0.420,-0.470,-2.210,-2.080,-4.506,0.238,-0.316,-0.093,-0.772,-1.572,-0.008,-0.195,-0.760,-0.366,0.328,1.063,1.085,1.054,45.494,20.126,4.286,0.175,0.031,-0.153,0.837,0.880,37.478,37.478,-0.005,0.999,0.995,0.985,0.949,0.975,0.066,0.268,-0.110,-0.170,-0.033,0.115,0.314,0.651,1.546,1.125,0.657,50.620,50.020,49.840,49.710,49.030,49.320,49.320,49.320,-0.753,-1.738,0.513,-0.139,0.420,0.880,1.138,1.143,-0.266,-0.179,-0.225,1
2010-06-03 11:30:00,78.161,0.079,0.000,8.400,66.082,42.000,-0.640,-0.500,-0.400,-2.290,-1.970,-4.517,0.174,-0.496,-0.106,-0.838,-0.326,-0.067,-0.153,-0.759,-0.369,0.257,1.040,1.085,1.046,45.064,19.497,3.416,0.162,0.029,-0.161,0.835,0.879,34.073,34.073,-0.013,0.999,0.995,0.985,0.949,0.975,-0.072,0.216,-0.110,-0.175,-0.035,0.116,0.545,0.375,1.546,1.125,0.654,50.620,49.840,49.840,49.430,49.030,49.320,49.320,49.320,-0.825,-0.646,0.423,-0.093,0.279,0.827,1.150,1.032,-0.240,-0.139,-0.488,1
2010-06-03 12:00:00,78.017,0.078,-0.000,10.900,65.961,54.500,-0.440,-0.870,-0.680,-2.400,-2.020,-4.534,0.121,-0.509,-0.151,-0.723,-0.147,-0.348,-0.312,-0.758,-0.372,0.216,1.002,1.083,1.032,42.203,15.304,2.299,0.145,0.028,-0.171,0.831,0.876,31.388,31.388,-0.009,0.998,0.994,0.985,0.949,0.975,-0.134,0.162,-0.108,-0.177,-0.036,0.172,0.733,0.297,1.503,1.118,0.656,50.620,49.840,49.840,49.360,49.030,49.260,49.260,49.260,-0.690,-0.126,0.057,-0.253,0.225,0.410,1.194,1.108,-0.442,-0.298,-0.535,1
2010-06-03 12:30:00,78.103,0.079,0.000,11.200,66.042,56.000,-0.250,-0.530,-0.430,-2.270,-1.920,-4.550,0.075,-0.468,-0.213,-0.682,0.183,-0.081,-0.168,-0.757,-0.375,0.215,0.959,1.080,1.016,44.206,18.239,10.345,0.123,0.027,-0.183,0.827,0.874,29.231,29.231,-0.005,0.998,0.994,0.985,0.949,0.975,-0.117,0.110,-0.104,-0.178,-0.038,0.159,0.540,0.294,1.491,1.120,0.656,50.620,49.840,49.720,49.360,49.030,49.260,49.260,49.260,-0.734,0.392,0.419,-0.099,0.184,0.576,0.939,0.901,-0.265,-0.189,-0.469,1
2010-06-03 13:00:00,78.103,0.079,0.000,11.400,66.042,57.000,-0.320,-0.610,-0.330,-2.300,-1.710,-4.563,0.022,-0.397,-0.287,-0.829,0.769,-0.137,-0.109,-0.756,-0.378,0.214,0.929,1.075,1.001,44.206,18.239,10.345,0.101,0.027,-0.196,0.823,0.872,27.021,27.021,-0.006,0.997,0.994,0.985,0.949,0.975,-0.114,0.064,-0.099,-0.181,-0.040,0.029,0.477,0.291,1.489,1.117,0.655,50.620,49.840,49.710,49.320,49.030,49.260,49.260,49.270,-0.863,0.600,0.304,-0.034,0.176,0.521,0.919,0.917,-0.235,-0.186,-0.459,1
