datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,82.682,0.284,-0.100,17.650,69.222,35.300,-6.010,19.180,1.930,12.780,-15.290,-0.539,2.115,-0.405,-0.311,-0.739,-0.492,1.164,0.171,-2.231,-1.939,0.177,1.791,1.601,1.300,66.691,63.179,9.104,0.192,0.001,0.125,10.246,9.673,29.975,29.975,-0.012,0.997,1.007,1.015,0.980,0.988,-0.201,0.800,0.122,0.148,0.005,0.265,0.470,0.838,1.770,1.242,0.873,524.670,517.510,513.470,513.470,487.870,510.480,510.480,510.480,-0.584,-1.434,1.007,0.196,0.150,2.135,1.777,1.319,-0.073,-0.176,-0.051,0
2010-06-02 10:00:00,82.453,0.283,-0.000,36.075,69.029,72.150,-8.100,20.020,3.240,9.240,-15.290,-0.471,2.001,-0.441,-0.276,-1.031,-1.865,1.219,0.242,-2.179,-1.935,0.175,1.810,1.606,1.302,63.586,59.746,0.996,0.189,0.002,0.126,10.201,9.655,27.292,27.292,-0.016,0.997,1.005,1.016,0.980,0.988,-0.203,0.774,0.114,0.145,-0.001,0.149,0.488,0.773,1.756,1.239,0.868,524.670,517.280,513.470,512.570,487.870,509.410,509.410,509.410,-0.860,-0.975,1.101,0.305,0.209,2.294,1.751,1.322,0.439,0.193,0.286,0
2010-06-02 10:30:00,82.481,0.283,-0.100,52.875,69.054,105.750,-7.370,20.280,4.310,12.020,-17.160,-0.406,1.877,-0.517,-0.242,-0.917,-0.114,1.229,0.301,-2.128,-1.932,0.182,1.830,1.610,1.305,63.364,59.502,12.062,0.182,0.003,0.127,10.171,9.644,24.706,24.706,-0.014,0.998,1.004,1.016,0.980,0.988,-0.221,0.747,0.107,0.140,-0.007,0.073,0.510,0.702,1.758,1.240,0.865,524.670,516.700,513.470,510.880,487.870,508.790,508.790,508.790,-0.820,-0.736,1.054,0.371,0.167,2.197,1.686,1.316,0.473,0.217,0.239,0
2010-06-02 11:00:00,82.783,0.284,0.000,78.200,69.307,156.400,-3.980,22.930,8.020,13.180,-13.690,-0.331,1.794,-0.365,-0.219,-0.721,2.653,1.405,0.497,-2.078,-1.928,0.203,1.835,1.611,1.305,67.437,63.343,38.249,0.187,0.004,0.128,10.124,9.625,23.240,23.240,-0.008,0.998,1.002,1.017,0.980,0.988,-0.186,0.740,0.107,0.138,-0.012,0.089,0.517,0.696,1.759,1.236,0.863,524.670,515.550,513.470,511.750,488.680,508.790,508.790,508.790,-0.801,1.349,1.171,0.593,0.199,2.272,1.760,1.345,0.001,-0.174,0.063,1
2010-06-02 11:30:00,82.715,0.284,-0.100,92.650,69.250,185.300,-3.270,21.470,6.880,14.690,-14.400,-0.261,1.712,-0.177,-0.200,-0.754,1.735,1.291,0.441,-2.028,-1.924,0.204,1.837,1.611,1.304,66.683,62.131,39.862,0.192,0.006,0.129,10.067,9.600,21.886,21.886,-0.006,0.998,1.001,1.018,0.980,0.988,-0.139,0.738,0.107,0.136,-0.018,0.087,0.505,0.668,1.758,1.233,0.861,524.670,514.290,513.470,511.750,488.880,508.790,508.790,509.930,-0.774,1.918,1.021,0.514,0.233,2.190,1.683,1.298,0.029,-0.140,-0.096,1
2010-06-02 12:00:00,82.646,0.284,-0.000,100.600,69.193,201.200,-3.440,21.740,6.890,10.820,-13.700,-0.190,1.648,-0.162,-0.180,-0.799,-0.184,1.304,0.446,-1.979,-1.920,0.199,1.835,1.610,1.300,66.036,60.843,39.202,0.198,0.007,0.131,9.994,9.567,20.884,20.884,-0.007,0.998,1.000,1.018,0.980,0.988,-0.120,0.740,0.108,0.134,-0.022,0.053,0.340,0.621,1.766,1.232,0.855,524.670,513.830,512.570,511.410,490.330,508.790,508.790,510.330,-0.901,-0.273,1.076,0.505,0.175,2.142,1.690,1.338,0.047,-0.124,-0.074,1
2010-06-02 12:30:00,82.623,0.284,-0.000,105.200,69.174,210.400,-2.680,17.010,6.170,11.620,-11.460,-0.127,1.597,-0.152,-0.175,-0.833,-0.085,0.955,0.412,-1.930,-1.916,0.192,1.834,1.610,1.296,65.372,56.509,37.754,0.206,0.009,0.133,9.911,9.529,20.136,20.136,-0.005,0.998,0.999,1.019,0.980,0.988,-0.091,0.742,0.107,0.132,-0.024,0.033,0.232,0.563,1.745,1.232,0.854,524.670,513.540,511.750,511.210,492.280,508.790,508.790,510.450,-0.925,-0.050,0.967,0.454,0.227,1.883,1.551,1.267,0.485,0.178,0.164,1
2010-06-02 13:00:00,82.600,0.284,-0.000,116.775,69.156,233.550,-2.540,15.480,5.570,11.530,-12.610,-0.073,1.543,-0.146,-0.129,-0.793,0.126,0.839,0.384,-1.883,-1.911,0.188,1.837,1.611,1.293,64.930,55.953,34.473,0.216,0.011,0.136,9.829,9.491,19.297,19.297,-0.005,0.999,0.998,1.019,0.980,0.988,-0.083,0.737,0.106,0.129,-0.026,0.045,0.225,0.543,1.723,1.233,0.853,524.670,513.470,511.750,510.650,492.280,508.790,508.790,510.340,-0.855,-0.038,0.966,0.411,0.188,1.846,1.571,1.245,0.053,-0.129,-0.027,1
2010-06-02 13:30:00,82.449,0.283,0.100,143.950,69.028,287.900,-2.560,12.280,4.600,11.960,-11.740,-0.024,1.495,-0.222,-0.097,-0.759,-0.578,0.605,0.337,-1.836,-1.907,0.187,1.838,1.611,1.291,61.865,52.105,7.835,0.227,0.013,0.139,9.747,9.452,18.533,18.533,-0.005,0.999,0.997,1.019,0.981,0.988,-0.084,0.734,0.106,0.126,-0.027,0.111,0.260,0.532,1.718,1.235,0.852,524.670,513.470,511.750,510.510,492.280,508.790,508.920,508.920,-0.834,-0.474,0.749,0.333,0.169,1.702,1.529,1.226,0.043,-0.134,-0.025,1
2010-06-02 14:00:00,82.531,0.284,0.000,153.475,69.097,306.950,-2.800,13.510,6.110,11.800,-12.760,0.020,1.440,-0.236,-0.097,-0.681,0.003,0.687,0.419,-1.789,-1.902,0.181,1.843,1.610,1.289,63.627,54.317,23.148,0.235,0.015,0.142,9.667,9.414,17.675,17.675,-0.005,0.999,0.996,1.020,0.981,0.988,-0.085,0.726,0.108,0.123,-0.029,0.111,0.227,0.509,1.699,1.236,0.852,524.670,513.470,511.410,510.220,492.280,508.790,508.920,508.920,-0.808,0.059,0.897,0.417,0.202,1.738,1.554,1.261,0.070,-0.122,-0.011,1
