datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,97.263,0.379,-0.100,2.850,198.530,5.700,0.840,-6.830,-22.390,-13.050,2.090,-2.799,-1.984,-0.182,0.130,0.149,-1.650,-0.527,-0.983,0.325,7.382,0.319,1.841,1.366,1.223,14.284,32.123,16.563,-0.453,-0.386,0.034,8.191,8.323,26.394,26.394,0.002,1.001,0.998,0.969,0.991,1.073,-0.040,-0.620,-0.538,-0.104,0.118,0.265,0.547,0.878,1.278,0.973,0.795,396.660,392.760,392.760,392.760,383.720,386.940,387.230,387.230,0.188,-1.495,-0.339,-1.479,0.289,2.062,1.509,1.189,-0.152,-0.372,-0.053,1
2010-06-02 10:00:00,96.958,0.378,0.000,9.500,197.906,19.000,-2.250,-4.060,-21.750,-16.110,3.920,-2.817,-1.969,-0.496,-0.034,0.335,-0.981,-0.265,-0.966,0.279,7.354,0.301,1.832,1.366,1.223,9.656,21.716,0.000,-0.449,-0.386,0.034,8.155,8.304,25.405,25.405,-0.006,1.000,0.998,0.969,0.991,1.073,-0.038,-0.596,-0.536,-0.109,0.111,0.149,0.581,0.843,1.263,0.971,0.792,396.660,392.760,392.760,388.250,383.720,386.510,386.510,386.510,0.386,-0.995,-0.033,-1.434,0.429,1.536,1.293,1.082,-0.233,-0.552,-0.178,0
2010-06-02 10:30:00,96.972,0.378,-0.000,13.550,197.937,27.100,-1.980,-3.010,-21.030,-15.950,1.550,-2.827,-1.958,-0.641,-0.179,0.031,-0.558,-0.163,-0.944,0.233,7.326,0.298,1.809,1.366,1.223,10.092,22.694,3.122,-0.445,-0.385,0.036,8.125,8.288,24.267,24.267,-0.005,0.998,0.998,0.969,0.991,1.072,-0.057,-0.556,-0.531,-0.115,0.103,0.072,0.570,0.794,1.257,0.971,0.788,396.660,392.760,392.760,387.300,383.720,386.460,386.460,386.460,0.045,-0.409,0.059,-1.654,0.247,1.890,1.517,1.252,-0.474,-0.695,-0.346,0
2010-06-02 11:00:00,96.952,0.378,-0.000,17.500,197.896,35.000,-2.220,-0.380,-21.720,-15.140,4.080,-2.830,-1.964,-0.664,-0.296,0.153,0.174,0.091,-0.966,0.187,7.298,0.294,1.772,1.365,1.223,9.210,20.711,4.217,-0.439,-0.384,0.039,8.101,8.275,22.465,22.465,-0.006,0.997,0.997,0.969,0.990,1.072,-0.080,-0.511,-0.527,-0.121,0.095,0.055,0.491,0.783,1.249,0.971,0.786,396.660,392.760,392.760,387.040,383.720,386.120,386.120,386.120,0.146,0.235,0.243,-1.725,0.304,1.571,1.592,1.376,-0.467,-0.694,-0.267,0
2010-06-02 11:30:00,96.899,0.378,-0.100,19.650,197.788,39.300,-2.090,-1.100,-21.720,-14.570,4.000,-2.832,-1.972,-0.676,-0.413,-0.075,0.060,0.022,-0.966,0.141,7.269,0.294,1.705,1.362,1.224,9.107,20.479,6.029,-0.433,-0.383,0.041,8.080,8.263,20.763,20.763,-0.005,0.996,0.997,0.969,0.990,1.072,-0.101,-0.453,-0.521,-0.127,0.088,0.044,0.448,0.748,1.248,0.970,0.781,396.660,392.760,392.760,386.600,383.720,385.960,385.960,385.960,-0.033,0.053,0.179,-1.762,0.243,1.660,1.592,1.471,-0.456,-0.690,-0.247,0
2010-06-02 12:00:00,96.938,0.378,0.000,20.700,197.870,41.400,-2.680,-3.080,-21.970,-14.570,4.690,-2.838,-1.980,-0.619,-0.498,-0.159,0.211,-0.166,-0.974,0.094,7.240,0.293,1.657,1.360,1.224,9.462,21.278,7.549,-0.426,-0.381,0.038,8.060,8.251,19.169,19.169,-0.007,0.995,0.997,0.969,0.989,1.072,-0.102,-0.406,-0.514,-0.132,0.081,0.025,0.273,0.701,1.242,0.969,0.778,396.660,392.760,388.250,386.600,383.720,385.960,385.960,385.960,-0.106,0.397,0.031,-1.620,0.251,1.201,1.301,1.286,-0.467,-0.475,-0.128,0
2010-06-02 12:30:00,96.899,0.378,-0.000,22.250,197.788,44.500,-4.930,-2.740,-22.820,-13.820,2.490,-2.846,-2.012,-0.519,-0.492,-0.185,0.326,-0.131,-1.001,0.048,7.211,0.272,1.613,1.360,1.225,9.129,20.531,6.127,-0.418,-0.380,0.031,8.040,8.240,17.015,17.015,-0.013,0.995,0.996,0.969,0.989,1.072,-0.130,-0.366,-0.515,-0.139,0.074,0.022,0.162,0.661,1.238,0.968,0.772,396.660,392.760,387.300,386.570,383.720,385.960,385.960,386.170,-0.113,0.829,0.090,-1.616,0.399,1.175,1.369,1.127,-0.487,-0.488,-0.131,0
2010-06-02 13:00:00,96.952,0.378,-0.000,24.150,197.896,48.300,-4.960,-3.180,-22.750,-13.720,3.700,-2.856,-2.071,-0.402,-0.405,-0.239,0.616,-0.171,-0.998,0.001,7.182,0.250,1.572,1.361,1.226,9.737,21.896,8.725,-0.407,-0.382,0.022,8.020,8.228,14.635,14.635,-0.013,0.996,0.995,0.969,0.988,1.071,-0.183,-0.333,-0.525,-0.147,0.066,0.031,0.133,0.634,1.196,0.969,0.771,396.660,392.760,387.040,386.600,383.720,385.960,385.960,386.230,-0.176,0.971,0.071,-1.671,0.179,1.301,1.353,1.107,-0.462,-0.488,-0.127,0
2010-06-02 13:30:00,96.925,0.378,-0.000,25.500,197.844,51.000,-4.500,-3.000,-22.950,-13.280,-0.180,-2.860,-2.122,-0.301,-0.320,-0.040,0.788,-0.153,-1.004,-0.046,7.153,0.249,1.516,1.362,1.227,9.462,21.278,7.549,-0.394,-0.386,0.013,8.001,8.217,12.824,12.824,-0.012,0.997,0.994,0.969,0.988,1.071,-0.203,-0.294,-0.535,-0.155,0.058,0.031,0.113,0.614,1.191,0.970,0.763,396.660,392.760,386.600,386.600,383.720,385.960,385.960,386.250,0.000,0.767,0.033,-1.729,0.244,1.096,1.298,1.114,-0.175,-0.298,0.044,0
2010-06-02 14:00:00,96.826,0.377,-0.000,27.000,197.640,54.000,-4.240,-2.440,-23.940,-14.900,-0.820,-2.867,-2.163,-0.260,-0.241,-0.215,0.194,-0.099,-1.036,-0.092,7.123,0.246,1.461,1.362,1.228,7.973,17.929,1.176,-0.376,-0.384,0.011,7.982,8.206,11.444,11.444,-0.011,0.998,0.993,0.969,0.987,1.071,-0.186,-0.254,-0.542,-0.162,0.049,0.031,0.103,0.557,1.160,0.969,0.758,396.660,392.760,386.600,386.540,383.720,385.960,385.960,385.960,-0.139,0.180,0.103,-1.671,0.182,1.205,1.373,1.181,-0.433,-0.435,-0.147,1
