datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,34.707,0.179,0.200,26.400,46.410,26.400,-0.510,1.560,-0.670,0.220,19.670,3.581,2.353,-0.901,-0.295,-0.393,-0.743,0.401,-0.646,0.792,2.357,0.547,2.488,2.570,2.802,61.685,75.114,21.014,0.389,0.316,0.384,2.705,2.872,73.887,73.887,-0.007,0.997,1.020,0.982,1.041,1.113,0.096,0.601,-0.019,0.132,0.627,0.172,0.440,1.312,1.378,1.401,1.321,74.520,74.520,74.100,73.490,68.680,72.680,72.680,72.680,-0.348,-1.114,0.784,-1.472,0.413,3.213,2.989,2.744,-0.171,0.001,0.180,0
2010-06-02 10:00:00,34.651,0.178,0.100,41.600,46.341,41.600,-0.660,3.020,-1.170,0.590,19.910,3.616,2.277,-0.903,-0.412,-0.265,0.780,0.818,-0.706,0.787,2.354,0.422,2.494,2.570,2.803,61.359,74.715,19.746,0.388,0.316,0.383,2.692,2.864,68.671,68.671,-0.009,0.996,1.019,0.983,1.040,1.113,-0.075,0.580,-0.020,0.124,0.621,0.136,0.351,1.172,1.365,1.396,1.320,74.520,74.520,73.950,73.180,68.680,72.680,72.680,72.680,-0.248,0.636,1.014,-1.529,0.419,2.220,2.384,2.591,-0.157,-0.345,0.028,0
2010-06-02 10:30:00,34.909,0.180,-0.200,104.800,46.683,104.800,-0.360,3.520,-0.630,0.650,20.290,3.669,2.261,-0.498,-0.450,-0.169,1.212,0.953,-0.636,0.783,2.351,0.449,2.495,2.570,2.803,69.832,85.103,52.717,0.385,0.316,0.382,2.678,2.856,67.082,67.082,-0.005,0.996,1.018,0.983,1.040,1.114,-0.109,0.577,-0.019,0.119,0.615,0.113,0.398,1.145,1.389,1.406,1.316,74.520,74.520,73.800,73.730,68.680,72.680,72.680,72.910,-0.192,1.424,1.068,-1.291,0.442,2.195,2.434,2.608,-0.161,-0.342,0.036,0
2010-06-02 11:00:00,35.038,0.180,-0.200,156.400,46.861,156.400,-0.350,4.380,-0.350,1.040,20.120,3.734,2.239,0.028,-0.395,0.087,1.808,1.198,-0.599,0.779,2.348,0.449,2.492,2.569,2.803,74.302,90.582,70.109,0.383,0.314,0.380,2.665,2.847,65.547,65.547,-0.005,0.996,1.017,0.984,1.039,1.114,-0.048,0.583,-0.018,0.114,0.608,0.166,0.437,1.133,1.397,1.415,1.321,74.520,74.520,74.010,74.010,68.680,72.680,72.680,73.150,0.017,1.558,1.069,-1.089,0.416,1.456,2.313,2.493,0.544,0.096,0.278,0
2010-06-02 11:30:00,35.056,0.180,0.100,181.200,46.886,181.200,0.380,4.420,-0.550,1.450,19.360,3.810,2.215,0.378,-0.268,0.235,0.771,1.199,-0.622,0.775,2.345,0.435,2.458,2.570,2.803,73.743,89.897,82.746,0.381,0.309,0.379,2.650,2.839,63.557,63.557,0.005,0.997,1.015,0.985,1.039,1.114,-0.051,0.622,-0.021,0.109,0.598,0.136,0.514,0.921,1.404,1.418,1.320,74.520,74.100,74.050,74.050,68.680,72.680,72.680,73.500,0.153,1.008,1.051,-1.088,0.423,1.596,2.396,2.623,1.000,0.523,0.572,1
2010-06-02 12:00:00,35.056,0.180,0.200,195.200,46.886,195.200,0.100,4.190,-0.390,0.840,19.590,3.882,2.219,0.455,-0.103,0.151,0.131,1.121,-0.600,0.771,2.342,0.411,2.417,2.570,2.803,72.439,88.299,81.455,0.383,0.307,0.380,2.631,2.827,63.271,63.271,0.001,0.999,1.014,0.986,1.039,1.114,-0.029,0.669,-0.021,0.105,0.591,0.071,0.454,0.892,1.406,1.419,1.320,74.520,74.100,74.050,74.050,68.680,72.680,72.680,73.770,0.078,0.028,1.089,-0.975,0.442,1.518,2.358,2.593,1.000,0.530,0.405,1
2010-06-02 12:30:00,35.001,0.180,0.000,203.600,46.810,203.600,0.100,4.180,-0.400,1.160,19.510,3.955,2.235,0.402,0.106,-0.028,-0.286,1.111,-0.600,0.768,2.339,0.408,2.355,2.569,2.802,72.253,88.071,80.516,0.391,0.306,0.384,2.612,2.816,63.712,63.712,0.001,1.001,1.014,0.987,1.038,1.114,0.011,0.729,-0.023,0.101,0.584,0.042,0.330,0.876,1.405,1.420,1.319,74.520,74.100,74.050,73.970,68.680,72.680,72.910,73.770,-0.061,-0.262,1.080,-0.991,0.466,1.941,2.756,3.086,0.494,0.227,0.242,1
2010-06-02 13:00:00,35.074,0.180,0.200,224.400,46.911,224.400,0.100,4.230,-0.160,1.240,20.570,4.028,2.246,0.483,0.318,0.125,0.050,1.115,-0.567,0.764,2.336,0.413,2.296,2.568,2.802,74.348,90.639,82.906,0.404,0.307,0.386,2.594,2.806,64.137,64.137,0.001,1.003,1.013,0.988,1.038,1.114,0.023,0.786,-0.030,0.097,0.580,0.057,0.355,0.839,1.407,1.425,1.320,74.520,74.240,74.240,74.240,68.680,72.680,73.150,73.810,0.046,-0.006,1.076,-0.976,0.386,1.855,2.590,2.979,0.597,0.294,0.345,1
2010-06-02 13:30:00,35.111,0.181,0.100,232.400,46.962,232.400,0.410,4.570,0.110,1.520,20.010,4.108,2.270,0.515,0.407,0.692,0.481,1.206,-0.531,0.761,2.333,0.408,2.206,2.567,2.802,74.488,90.811,83.547,0.418,0.307,0.389,2.578,2.796,65.040,65.040,0.006,1.004,1.012,0.989,1.037,1.114,0.034,0.858,-0.032,0.095,0.576,0.069,0.305,0.685,1.402,1.424,1.320,74.520,74.240,74.240,74.240,68.680,72.680,73.500,73.860,0.433,0.614,1.012,-0.875,0.363,2.083,3.064,3.121,0.587,0.293,0.363,1
2010-06-02 14:00:00,35.074,0.180,0.000,237.200,46.911,237.200,0.370,4.100,-0.010,1.270,19.650,4.180,2.288,0.468,0.435,0.663,-0.066,1.059,-0.544,0.758,2.330,0.402,2.135,2.567,2.802,73.417,89.498,78.632,0.433,0.312,0.391,2.562,2.786,65.774,65.774,0.005,1.004,1.011,0.989,1.037,1.114,0.040,0.917,-0.030,0.094,0.571,0.032,0.203,0.656,1.402,1.423,1.313,74.520,74.240,74.240,74.050,68.680,72.680,73.770,73.780,0.500,-0.144,1.077,-0.950,0.431,2.107,2.678,2.938,0.557,0.285,0.340,1
