datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,192.181,0.241,0.200,0.750,172.718,3.750,5.330,10.590,13.300,7.380,34.300,7.308,5.059,0.660,0.169,0.513,1.808,2.220,1.266,1.391,4.596,0.458,1.431,1.409,1.179,100.000,100.000,100.000,0.674,0.552,0.297,3.160,2.848,89.118,89.118,0.035,1.002,1.025,1.024,1.052,1.097,0.401,1.256,0.648,0.172,0.410,0.283,0.455,1.388,1.793,0.939,0.599,156.880,156.880,156.880,156.880,145.180,151.830,153.990,153.990,0.146,1.196,1.341,0.809,0.454,1.977,1.548,1.360,0.704,0.610,0.102,1
2010-06-02 10:00:00,192.181,0.241,-0.400,2.300,172.729,11.500,3.200,11.710,14.060,7.620,33.470,7.405,5.228,1.126,0.161,0.607,-0.019,2.449,1.394,1.407,4.594,0.424,1.445,1.405,1.191,98.530,98.012,94.162,0.674,0.555,0.296,3.186,2.864,90.599,90.599,0.021,1.002,1.026,1.025,1.053,1.097,0.482,1.292,0.688,0.183,0.410,0.133,0.513,1.232,1.790,0.939,0.598,157.570,157.570,157.570,157.570,146.010,153.630,153.990,156.040,0.233,0.208,1.372,0.815,0.376,1.403,1.242,1.268,1.000,0.879,0.422,1
2010-06-02 10:30:00,191.807,0.240,0.100,3.850,172.399,19.250,2.130,10.580,13.510,7.360,33.550,7.490,5.302,1.034,0.235,0.324,-0.789,2.158,1.305,1.422,4.593,0.409,1.447,1.388,1.194,93.845,91.667,73.406,0.674,0.559,0.293,3.196,2.871,91.369,91.369,0.014,1.002,1.026,1.026,1.053,1.097,0.384,1.305,0.718,0.191,0.407,0.054,0.521,1.140,1.784,0.942,0.598,157.570,157.570,157.570,157.570,146.010,153.990,153.990,156.500,-0.028,-0.523,1.326,0.851,0.399,1.040,1.082,1.128,1.000,0.823,0.267,1
2010-06-02 11:00:00,192.036,0.241,0.200,4.100,172.608,20.500,2.060,10.770,13.800,7.530,34.070,7.573,5.326,0.719,0.361,0.444,-0.460,2.171,1.351,1.439,4.591,0.397,1.446,1.368,1.195,93.461,91.136,71.415,0.673,0.564,0.291,3.202,2.877,91.855,91.855,0.013,1.004,1.026,1.027,1.054,1.097,0.241,1.309,0.743,0.196,0.406,0.037,0.514,0.985,1.795,0.939,0.592,157.570,157.570,157.570,156.780,146.070,153.990,153.990,156.390,0.122,-0.462,1.321,0.858,0.353,0.893,0.916,1.107,1.000,0.830,0.432,1
2010-06-02 11:30:00,192.036,0.241,0.000,4.250,172.608,21.250,1.560,10.090,14.730,7.760,33.400,7.654,5.327,0.679,0.546,0.427,-0.086,1.990,1.507,1.456,4.590,0.386,1.446,1.344,1.195,94.952,92.876,77.933,0.672,0.570,0.287,3.208,2.883,92.245,92.245,0.010,1.005,1.026,1.028,1.054,1.097,0.177,1.306,0.768,0.201,0.404,0.010,0.563,0.835,1.790,0.933,0.590,157.570,157.570,157.570,156.780,146.480,153.990,153.990,156.390,0.025,-0.054,1.192,0.943,0.470,1.096,0.965,1.184,1.000,0.934,0.339,1
2010-06-02 12:00:00,191.735,0.240,0.000,4.300,172.333,21.500,1.440,8.300,14.470,6.780,33.250,7.726,5.319,0.628,0.644,0.594,-0.480,1.574,1.465,1.473,4.589,0.386,1.444,1.314,1.196,93.342,90.580,70.950,0.671,0.578,0.283,3.214,2.888,92.585,92.585,0.009,1.006,1.025,1.029,1.055,1.097,0.151,1.291,0.794,0.204,0.402,0.005,0.274,0.784,1.735,0.930,0.587,157.570,157.570,157.570,156.780,146.530,153.990,156.040,156.500,0.325,-0.682,0.989,0.982,0.420,1.498,1.249,1.299,0.850,0.831,0.277,1
2010-06-02 12:30:00,191.759,0.240,0.000,4.350,172.355,21.750,1.600,8.570,14.390,7.030,32.910,7.788,5.322,0.485,0.573,0.997,-0.464,1.618,1.451,1.491,4.588,0.383,1.443,1.286,1.197,93.470,90.761,71.508,0.667,0.587,0.278,3.220,2.894,92.970,92.970,0.010,1.006,1.025,1.030,1.055,1.097,0.152,1.278,0.820,0.207,0.400,0.003,0.100,0.760,1.721,0.928,0.585,157.570,157.570,157.570,156.550,146.530,153.990,156.390,156.530,1.154,-0.380,1.044,1.005,0.356,1.781,1.355,1.317,0.325,0.473,0.077,1
2010-06-02 13:00:00,192.325,0.241,0.100,4.500,172.861,22.500,1.980,9.280,14.480,7.200,34.040,7.853,5.333,0.478,0.445,0.987,0.211,1.751,1.458,1.509,4.587,0.384,1.442,1.262,1.198,95.476,93.599,80.261,0.664,0.597,0.273,3.225,2.899,93.380,93.380,0.013,1.004,1.025,1.030,1.056,1.097,0.171,1.268,0.844,0.210,0.399,0.006,0.063,0.740,1.712,0.927,0.584,157.570,157.570,157.010,157.010,146.530,153.990,156.390,156.530,1.032,0.161,1.132,1.010,0.372,1.741,1.381,1.303,0.323,0.390,0.098,1
2010-06-02 13:30:00,192.506,0.241,0.000,4.750,173.027,23.750,2.690,10.050,14.460,8.040,34.530,7.928,5.377,0.543,0.379,1.079,0.281,1.897,1.451,1.527,4.586,0.375,1.442,1.248,1.201,97.375,96.286,88.547,0.660,0.608,0.273,3.231,2.905,93.902,93.902,0.017,1.004,1.026,1.031,1.056,1.097,0.211,1.272,0.867,0.215,0.398,0.012,0.028,0.702,1.705,0.924,0.583,157.570,157.570,157.160,157.160,146.530,153.990,156.390,156.550,1.047,0.152,1.230,1.036,0.320,1.633,1.325,1.225,0.462,0.386,-0.005,1
2010-06-02 14:00:00,191.952,0.240,0.000,4.900,172.531,24.500,2.370,9.330,13.570,7.190,34.300,8.001,5.429,0.449,0.300,1.032,-0.707,1.726,1.308,1.546,4.586,0.378,1.442,1.240,1.204,94.494,92.210,75.978,0.656,0.620,0.277,3.237,2.910,94.391,94.391,0.015,1.003,1.026,1.032,1.057,1.097,0.245,1.278,0.886,0.220,0.399,0.015,0.029,0.591,1.700,0.921,0.583,157.570,157.570,157.160,157.160,146.530,153.990,156.500,156.710,1.040,-0.893,1.219,1.040,0.461,2.210,1.624,1.363,0.578,0.639,0.246,1
2010-06-02 14:30:00,191.807,0.240,0.000,5.150,172.399,25.750,2.470,9.240,13.280,7.170,33.590,8.072,5.474,0.179,0.174,0.849,-0.974,1.690,1.260,1.565,4.586,0.379,1.441,1.230,1.206,93.726,91.123,72.626,0.651,0.634,0.270,3.242,2.915,94.812,94.812,0.016,1.002,1.026,1.033,1.057,1.097,0.240,1.286,0.905,0.225,0.400,0.016,0.035,0.551,1.702,0.920,0.582,157.570,157.570,157.160,157.160,146.530,153.990,156.530,156.590,0.986,-0.817,1.228,0.953,0.412,1.230,1.006,1.037,0.635,0.677,0.325,1
