datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,146.708,1.087,0.400,202.800,151.652,202.800,-4.020,7.440,12.770,19.420,27.050,25.592,10.696,-1.601,-0.482,-1.267,-1.892,0.630,1.897,3.869,2.877,0.573,2.526,3.464,3.125,75.012,62.380,2.456,0.645,0.636,0.641,4.259,3.725,68.129,68.129,-0.042,0.995,1.047,1.127,1.194,1.185,-0.597,2.578,1.936,1.275,0.650,0.313,0.495,1.068,1.492,2.447,1.926,96.780,96.180,94.750,94.190,83.250,91.430,91.430,91.430,-0.710,-1.310,1.169,1.630,0.521,4.059,5.414,3.936,0.269,0.081,0.251,0
2010-06-02 10:00:00,146.502,1.086,-0.100,277.600,151.438,277.600,-3.550,6.990,12.830,19.000,28.120,25.676,10.191,-2.163,-0.680,-1.465,-0.444,0.512,1.910,3.899,2.897,0.576,2.656,3.506,3.141,74.750,61.986,6.504,0.639,0.633,0.639,4.260,3.729,61.029,61.029,-0.037,0.993,1.042,1.127,1.195,1.186,-0.672,2.448,1.885,1.257,0.644,0.132,0.584,0.935,1.435,2.436,1.922,96.780,95.150,94.460,92.510,83.250,91.390,91.390,91.390,-0.956,-0.807,0.970,1.656,0.769,3.187,4.924,3.599,0.628,0.336,0.445,0
2010-06-02 10:30:00,146.982,1.089,0.200,350.800,151.933,350.800,-2.270,7.240,13.120,19.020,28.420,25.765,9.805,-2.081,-0.902,-1.277,0.857,0.564,1.965,3.929,2.917,0.539,2.727,3.531,3.148,75.520,63.144,11.691,0.630,0.629,0.638,4.248,3.728,56.691,56.691,-0.024,0.991,1.038,1.128,1.195,1.187,-0.563,2.333,1.844,1.247,0.641,0.070,0.665,0.831,1.436,2.435,1.917,96.780,94.840,94.320,91.950,83.250,91.390,91.390,91.390,-0.861,0.653,1.060,1.637,0.493,2.408,4.362,3.417,0.667,0.379,0.457,1
2010-06-02 11:00:00,145.953,1.082,-0.000,418.800,150.876,418.800,-3.050,7.250,12.580,18.700,28.030,25.859,9.425,-1.863,-1.145,-1.370,0.100,0.574,1.844,3.958,2.936,0.522,2.799,3.555,3.156,73.229,59.695,0.472,0.620,0.624,0.637,4.236,3.726,52.660,52.660,-0.032,0.989,1.035,1.128,1.196,1.188,-0.454,2.238,1.807,1.239,0.638,0.068,0.648,0.814,1.429,2.436,1.916,96.780,94.840,94.190,91.950,83.250,91.310,91.310,91.310,-0.869,0.336,1.268,1.439,0.514,2.787,3.897,3.075,0.676,0.421,0.552,1
2010-06-02 11:30:00,146.159,1.083,-0.100,456.000,151.091,456.000,-3.020,6.720,12.570,19.020,28.400,25.950,8.990,-1.830,-1.317,-1.510,-0.061,0.429,1.830,3.986,2.956,0.496,2.888,3.585,3.166,73.507,60.113,5.696,0.609,0.619,0.635,4.225,3.725,48.100,48.100,-0.032,0.987,1.031,1.128,1.197,1.189,-0.506,2.140,1.771,1.227,0.636,0.053,0.580,0.782,1.420,2.434,1.915,96.780,94.750,94.190,91.870,83.250,91.180,91.180,91.180,-0.956,-0.031,1.039,1.409,0.500,2.797,3.975,3.209,0.689,0.436,0.550,1
2010-06-02 12:00:00,145.953,1.082,-0.000,467.200,150.876,467.200,-2.820,5.970,12.670,19.070,27.920,26.024,8.575,-1.678,-1.395,-2.359,0.694,0.233,1.853,4.014,2.975,0.499,2.957,3.610,3.174,73.441,60.015,5.322,0.596,0.615,0.635,4.215,3.723,44.229,44.229,-0.030,0.986,1.027,1.129,1.198,1.190,-0.541,2.026,1.744,1.218,0.635,0.027,0.280,0.726,1.406,2.430,1.908,96.780,94.750,92.510,91.530,83.250,91.180,91.180,91.180,-1.258,0.776,0.349,1.494,0.440,4.094,4.138,3.475,-0.009,0.083,0.288,1
2010-06-02 12:30:00,146.296,1.084,0.100,481.200,151.239,481.200,-2.790,6.420,12.700,19.670,28.440,26.098,8.173,-1.409,-1.268,-2.050,0.769,0.338,1.846,4.042,2.995,0.501,3.024,3.632,3.180,73.523,60.138,5.789,0.582,0.615,0.634,4.205,3.722,40.819,40.819,-0.030,0.987,1.023,1.129,1.199,1.191,-0.512,1.943,1.721,1.209,0.632,0.015,0.161,0.699,1.402,2.427,1.906,96.780,94.750,91.950,91.530,83.250,91.180,91.180,91.230,-1.107,0.695,0.682,1.447,0.639,3.638,3.718,3.412,0.128,0.396,0.439,1
2010-06-02 13:00:00,146.159,1.083,-0.100,504.000,151.091,504.000,-3.170,6.330,12.750,19.480,28.440,26.177,7.765,-1.035,-1.012,-1.908,0.809,0.310,1.855,4.069,3.014,0.500,3.090,3.652,3.188,74.145,61.074,9.834,0.567,0.617,0.634,4.194,3.721,37.632,37.632,-0.034,0.990,1.019,1.129,1.200,1.192,-0.504,1.862,1.700,1.201,0.630,0.022,0.136,0.673,1.399,2.423,1.906,96.780,94.460,91.950,91.620,83.250,91.180,91.180,91.230,-1.046,0.966,0.603,1.480,0.462,3.601,3.713,3.643,0.180,0.424,0.334,1
2010-06-02 13:30:00,146.159,1.083,0.000,518.800,151.091,518.800,-2.830,6.330,12.800,19.860,28.250,26.255,7.363,-0.767,-0.829,-1.942,0.509,0.303,1.861,4.096,3.034,0.498,3.153,3.673,3.197,73.720,60.434,7.520,0.552,0.617,0.634,4.179,3.717,34.727,34.727,-0.030,0.992,1.015,1.129,1.200,1.193,-0.505,1.785,1.678,1.194,0.628,0.023,0.105,0.655,1.389,2.422,1.905,96.780,94.460,91.870,91.620,83.250,91.180,91.180,91.360,-1.210,0.480,0.548,1.459,0.526,3.583,3.436,3.399,0.203,0.164,0.291,1
2010-06-02 14:00:00,146.296,1.084,0.100,564.000,151.239,564.000,-2.510,6.330,13.160,19.480,28.140,26.328,6.972,-0.561,-0.595,-1.949,0.733,0.295,1.940,4.122,3.054,0.501,3.209,3.691,3.205,73.801,60.557,8.386,0.535,0.618,0.633,4.164,3.713,32.182,32.182,-0.027,0.994,1.012,1.129,1.201,1.194,-0.489,1.707,1.657,1.190,0.626,0.038,0.092,0.649,1.380,2.411,1.906,96.780,94.320,91.620,91.570,83.250,91.180,91.180,91.360,-1.266,0.787,0.480,1.647,0.521,3.636,2.859,2.864,0.241,0.514,0.472,1
