datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,122.943,0.613,0.000,22.000,207.727,22.000,1.390,4.100,-1.000,-2.360,-6.170,-4.970,1.130,0.074,0.126,0.156,1.275,1.472,-0.054,-2.986,-3.109,0.202,0.873,0.863,0.912,89.845,96.393,87.340,0.471,0.330,0.348,2.760,3.117,90.911,90.911,0.006,1.001,1.010,0.996,0.949,0.952,0.059,0.262,-0.047,-0.082,-0.002,0.269,0.525,0.960,1.699,1.050,0.863,222.570,222.570,222.570,222.330,215.270,220.490,221.330,221.330,0.125,0.965,1.050,0.439,0.194,1.178,1.173,1.110,0.439,0.279,0.236,1
2010-06-02 10:00:00,122.848,0.612,0.100,48.100,207.568,48.100,1.670,5.040,0.650,-1.630,-5.080,-4.927,1.182,0.098,0.061,0.473,-0.039,1.711,0.101,-2.971,-3.114,0.197,0.866,0.864,0.913,93.151,93.151,75.105,0.479,0.333,0.348,2.750,3.109,91.985,91.985,0.008,1.001,1.010,0.996,0.949,0.952,0.086,0.283,-0.037,-0.077,-0.004,0.132,0.518,0.888,1.680,1.044,0.857,222.570,222.570,222.570,222.400,215.270,220.730,221.330,221.710,0.315,0.057,1.165,1.056,0.233,0.867,0.866,0.925,0.423,0.256,0.149,1
2010-06-02 10:30:00,123.000,0.613,-0.000,66.900,207.830,66.900,0.390,6.110,0.830,0.030,-10.090,-4.878,1.216,0.150,0.024,0.643,-0.170,1.980,0.122,-2.955,-3.118,0.168,0.861,0.863,0.913,97.581,97.581,86.957,0.491,0.338,0.347,2.730,3.096,92.641,92.641,0.002,1.000,1.010,0.997,0.949,0.952,0.091,0.299,-0.028,-0.070,-0.009,0.050,0.533,0.805,1.682,1.047,0.844,222.710,222.710,222.710,222.710,215.270,221.330,221.330,221.990,0.454,0.008,1.166,1.187,0.151,0.711,0.827,0.901,0.680,0.345,0.207,1
2010-06-02 11:00:00,123.019,0.613,-0.000,72.300,207.858,72.300,0.900,6.140,0.680,-0.580,-9.610,-4.826,1.239,0.185,0.026,0.561,0.359,1.969,0.113,-2.940,-3.123,0.149,0.850,0.863,0.913,96.640,96.640,81.884,0.506,0.342,0.346,2.708,3.082,93.053,93.053,0.004,1.000,1.010,0.997,0.949,0.952,0.062,0.316,-0.022,-0.066,-0.015,0.029,0.492,0.759,1.674,1.047,0.839,222.710,222.710,222.710,222.710,215.270,221.330,221.330,222.060,0.361,0.352,1.154,0.955,0.156,0.783,0.894,0.881,0.656,0.415,0.248,1
2010-06-02 11:30:00,123.151,0.614,0.000,80.300,208.082,80.300,1.140,6.690,1.060,-0.520,-9.830,-4.773,1.276,0.188,0.064,0.586,0.271,2.094,0.152,-2.924,-3.127,0.146,0.828,0.864,0.913,99.866,99.866,99.275,0.523,0.347,0.344,2.687,3.069,93.676,93.676,0.005,1.001,1.010,0.998,0.949,0.952,0.065,0.343,-0.016,-0.060,-0.022,0.017,0.460,0.705,1.673,1.048,0.835,222.710,222.710,222.710,222.710,215.270,221.330,221.330,222.400,0.387,0.185,1.198,0.862,0.124,0.833,0.932,0.881,0.623,0.398,0.245,1
2010-06-02 12:00:00,123.019,0.613,0.000,86.100,207.858,86.100,0.770,5.790,0.680,-0.550,-9.220,-4.722,1.303,0.154,0.078,0.310,-0.345,1.834,0.120,-2.908,-3.131,0.150,0.805,0.864,0.913,97.222,97.222,85.024,0.543,0.352,0.342,2.666,3.055,94.098,94.098,0.003,1.001,1.010,0.998,0.949,0.952,0.070,0.368,-0.009,-0.054,-0.026,0.020,0.241,0.651,1.667,1.048,0.832,222.710,222.710,222.710,222.710,215.270,221.330,221.710,222.370,0.174,-0.231,1.033,0.946,0.162,0.774,0.942,0.933,0.544,0.331,0.211,0
2010-06-02 12:30:00,123.094,0.614,0.000,90.800,207.988,90.800,0.700,5.860,0.650,-0.370,-10.010,-4.674,1.321,0.086,0.087,0.262,-0.459,1.834,0.121,-2.891,-3.136,0.150,0.786,0.863,0.912,97.446,97.446,86.232,0.565,0.358,0.339,2.646,3.042,94.374,94.374,0.003,1.001,1.010,0.999,0.949,0.952,0.050,0.388,-0.004,-0.048,-0.030,0.016,0.103,0.624,1.661,1.047,0.829,222.710,222.710,222.710,222.610,215.270,221.330,221.990,222.340,0.168,-0.329,0.925,0.828,0.177,0.511,0.825,0.862,1.000,0.645,0.407,0
2010-06-02 13:00:00,122.943,0.613,0.000,98.100,207.736,98.100,0.080,5.380,0.030,-0.930,-10.810,-4.627,1.330,0.083,0.097,0.214,-0.450,1.693,0.066,-2.875,-3.140,0.148,0.763,0.863,0.911,95.296,95.296,74.638,0.588,0.364,0.336,2.626,3.029,94.339,94.339,0.000,1.001,1.009,0.999,0.949,0.952,0.030,0.407,-0.000,-0.044,-0.034,0.020,0.082,0.574,1.653,1.047,0.827,222.710,222.710,222.710,222.680,215.270,221.330,222.060,222.340,0.142,-0.300,0.851,0.739,0.145,0.496,0.942,0.928,1.000,0.657,0.282,0
2010-06-02 13:30:00,123.019,0.613,0.000,100.400,207.858,100.400,-0.100,5.510,0.260,-0.550,-10.720,-4.582,1.330,0.091,0.098,0.396,-0.399,1.712,0.091,-2.858,-3.143,0.146,0.739,0.862,0.910,96.774,96.774,82.609,0.611,0.368,0.331,2.606,3.016,93.976,93.976,-0.000,1.001,1.009,1.000,0.949,0.952,0.011,0.426,0.003,-0.040,-0.039,0.018,0.062,0.509,1.654,1.046,0.821,222.710,222.710,222.710,222.680,215.270,221.330,222.340,222.340,0.279,-0.334,0.879,0.713,0.155,0.595,0.962,0.908,0.795,0.501,0.328,1
2010-06-02 14:00:00,122.943,0.613,0.000,103.400,207.736,103.400,0.050,5.380,0.130,-1.580,-12.640,-4.537,1.334,0.073,0.090,0.446,-0.026,1.665,0.082,-2.841,-3.147,0.143,0.714,0.861,0.909,95.161,95.161,73.913,0.639,0.374,0.327,2.587,3.003,94.043,94.043,0.000,1.001,1.009,1.000,0.949,0.952,0.005,0.444,0.007,-0.036,-0.045,0.011,0.066,0.449,1.654,1.048,0.817,222.710,222.710,222.710,222.540,215.270,221.330,222.340,222.340,0.345,-0.533,0.839,0.650,0.123,0.511,0.890,0.927,1.000,0.640,0.515,0
2010-06-02 14:30:00,122.905,0.613,0.000,108.900,207.671,108.900,0.770,5.140,0.480,-0.900,-14.240,-4.493,1.351,0.024,0.049,0.313,-0.700,1.589,0.119,-2.824,-3.151,0.132,0.688,0.860,0.908,94.848,94.848,72.222,0.671,0.382,0.323,2.567,2.990,94.357,94.357,0.003,1.000,1.008,1.000,0.949,0.952,0.022,0.465,0.013,-0.030,-0.052,0.020,0.068,0.402,1.649,1.049,0.814,222.710,222.710,222.680,222.540,215.270,221.330,222.230,222.230,0.255,-0.835,0.758,0.686,0.130,0.486,0.769,0.906,1.000,0.631,0.503,0
2010-06-02 15:00:00,122.886,0.613,-0.000,121.900,207.633,121.900,-0.070,4.960,0.820,-0.580,-14.820,-4.451,1.369,-0.010,0.022,0.371,-0.637,1.529,0.155,-2.807,-3.154,0.117,0.667,0.859,0.906,94.489,94.489,70.290,0.704,0.389,0.317,2.549,2.977,94.558,94.558,-0.000,1.000,1.008,1.001,0.949,0.952,0.038,0.483,0.018,-0.023,-0.058,0.056,0.109,0.318,1.638,1.047,0.812,222.710,222.710,222.680,222.540,215.270,221.330,222.230,222.230,0.311,-0.883,0.727,0.900,0.125,0.555,0.774,0.920,0.490,0.269,0.148,1
2010-06-02 15:30:00,123.151,0.614,0.000,155.100,208.082,155.100,0.930,5.340,2.740,0.250,-16.370,-4.408,1.387,-0.012,-0.003,0.503,1.187,1.611,0.345,-2.789,-3.157,0.116,0.643,0.851,0.903,98.522,98.522,88.849,0.746,0.399,0.312,2.526,2.962,94.981,94.981,0.004,1.000,1.008,1.001,0.950,0.952,0.046,0.503,0.031,-0.015,-0.066,0.322,0.449,0.141,1.620,1.044,0.807,222.710,222.710,222.710,222.710,215.270,221.990,222.230,222.230,0.454,1.480,0.863,1.249,0.123,0.530,0.716,0.974,0.654,0.368,0.202,0
2010-06-03 09:30:00,123.700,0.617,0.200,46.100,209.016,46.100,1.380,7.990,5.500,-0.110,-12.210,-4.379,1.398,0.078,0.006,0.964,3.469,2.291,0.619,-2.781,-3.159,0.137,0.624,0.840,0.902,99.832,99.832,98.925,0.748,0.400,0.311,2.517,2.956,95.265,95.265,0.006,1.000,1.008,1.001,0.950,0.952,0.049,0.517,0.042,-0.013,-0.068,0.463,0.564,0.167,1.614,1.047,0.807,223.710,223.710,223.710,223.710,215.270,221.990,222.230,222.230,1.383,2.024,1.207,1.208,0.184,0.813,0.875,1.080,0.683,0.350,0.192,0
