datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,41.147,0.115,0.200,71.600,215.255,143.200,-4.730,15.700,49.280,58.030,106.660,48.580,12.829,-0.716,-0.651,-0.854,-0.766,-0.033,2.329,13.496,15.758,0.555,2.444,3.868,3.123,90.451,73.333,5.388,0.848,0.865,0.733,7.922,6.768,94.134,94.134,-0.023,0.993,1.039,1.189,1.389,1.541,-0.001,2.331,2.981,1.748,1.293,0.234,0.587,1.413,0.729,2.044,1.610,203.760,203.390,200.850,199.900,183.580,197.950,197.950,197.970,-1.114,-0.843,-0.006,1.515,0.347,3.066,3.740,3.124,0.185,0.735,0.632,1
2010-06-02 10:00:00,41.371,0.116,0.300,164.000,216.426,328.000,-2.010,15.850,50.970,58.360,107.750,48.594,12.416,-0.627,-0.579,-0.951,0.680,-0.030,2.461,13.563,15.803,0.402,2.470,3.871,3.131,92.326,77.933,32.090,0.841,0.865,0.731,7.872,6.751,87.717,87.717,-0.010,0.994,1.037,1.189,1.391,1.542,-0.237,2.221,2.978,1.736,1.290,0.184,0.625,1.260,0.725,2.046,1.606,203.760,202.240,200.410,199.610,183.670,197.950,197.950,197.970,-1.448,0.875,-0.010,1.560,0.395,2.265,3.332,2.912,0.486,0.812,0.645,1
2010-06-02 10:30:00,41.178,0.115,0.000,195.600,215.418,391.200,-2.920,15.010,49.990,57.600,107.740,48.605,12.038,-0.440,-0.445,-0.981,0.642,-0.084,2.373,13.631,15.848,0.402,2.480,3.874,3.136,91.328,75.003,18.648,0.830,0.864,0.729,7.815,6.732,82.813,82.813,-0.014,0.996,1.034,1.189,1.393,1.543,-0.251,2.115,2.975,1.728,1.288,0.102,0.548,1.205,0.713,2.047,1.605,203.760,202.240,200.410,199.610,183.810,197.950,197.970,198.380,-1.479,0.503,-0.026,1.461,0.485,2.288,3.920,3.199,0.509,0.818,0.611,1
2010-06-02 11:00:00,41.215,0.115,-0.200,257.600,215.624,515.200,-2.760,7.780,50.680,57.680,108.460,48.600,11.687,-0.274,-0.295,-1.016,-0.345,-0.564,2.426,13.697,15.893,0.410,2.461,3.871,3.140,92.297,75.933,31.702,0.816,0.863,0.725,7.759,6.712,79.180,79.180,-0.014,0.997,1.032,1.189,1.394,1.544,-0.195,2.007,2.978,1.721,1.289,0.077,0.546,1.246,0.689,2.046,1.602,203.760,202.240,200.410,199.890,185.270,197.950,197.970,198.630,-1.446,-0.236,-0.343,1.458,0.405,2.514,4.317,3.461,-0.152,0.661,0.498,1
2010-06-02 11:30:00,41.355,0.116,0.100,313.200,216.361,626.400,-1.760,11.160,51.220,59.100,109.430,48.563,11.319,-0.042,-0.192,-1.013,1.205,-0.348,2.450,13.763,15.938,0.403,2.396,3.870,3.145,92.637,76.997,42.764,0.798,0.861,0.721,7.699,6.691,74.964,74.964,-0.009,0.998,1.030,1.188,1.396,1.545,-0.184,1.869,2.979,1.715,1.290,0.097,0.480,1.298,0.665,2.048,1.599,203.760,201.460,199.900,199.890,185.270,197.950,197.970,198.630,-1.664,0.861,-0.251,1.363,0.367,2.633,4.189,3.368,0.223,0.756,0.638,1
2010-06-02 12:00:00,41.293,0.115,-0.000,331.000,216.036,662.000,-1.300,11.180,51.820,58.160,109.560,48.527,10.979,0.013,-0.113,-1.000,0.707,-0.345,2.506,13.829,15.983,0.397,2.321,3.862,3.150,92.262,75.825,42.851,0.776,0.859,0.716,7.629,6.664,71.830,71.830,-0.006,0.999,1.028,1.187,1.398,1.546,-0.176,1.738,2.986,1.710,1.292,0.062,0.344,1.269,0.660,2.046,1.598,203.760,201.020,199.890,199.620,185.270,197.950,197.970,199.000,-1.603,0.699,-0.238,1.398,0.346,2.446,4.025,3.293,0.236,0.764,0.643,1
2010-06-02 12:30:00,41.282,0.115,0.000,342.000,215.982,684.000,-1.820,9.650,52.450,58.380,109.650,48.485,10.653,0.065,0.015,-0.990,-0.077,-0.445,2.558,13.893,16.029,0.395,2.219,3.849,3.154,92.291,75.915,44.987,0.753,0.858,0.711,7.557,6.635,69.306,69.306,-0.009,1.000,1.027,1.187,1.399,1.547,-0.136,1.605,2.997,1.705,1.292,0.025,0.236,1.259,0.648,2.040,1.596,203.760,200.850,199.890,199.550,185.270,197.950,198.380,199.000,-1.579,-0.081,-0.293,1.454,0.411,2.263,4.072,3.334,0.200,0.816,0.717,1
2010-06-02 13:00:00,41.376,0.116,0.100,371.400,216.470,742.800,-0.560,10.560,52.940,58.410,110.710,48.441,10.344,0.140,0.089,-0.759,0.604,-0.388,2.582,13.957,16.074,0.390,2.104,3.827,3.157,92.562,76.762,61.518,0.727,0.858,0.706,7.480,6.604,67.458,67.458,-0.003,1.001,1.026,1.186,1.401,1.548,-0.104,1.476,3.015,1.701,1.294,0.037,0.189,1.204,0.649,2.035,1.597,203.760,200.410,199.890,199.650,185.270,197.950,198.630,199.100,-1.319,0.561,-0.253,1.456,0.499,1.485,3.797,3.208,0.510,0.887,0.776,1
2010-06-02 13:30:00,41.303,0.116,-0.100,417.600,216.090,835.200,0.750,11.220,52.470,57.690,110.140,48.410,10.119,0.154,0.116,-0.824,0.157,-0.344,2.529,14.021,16.120,0.314,1.984,3.801,3.158,92.476,76.492,59.252,0.718,0.864,0.705,7.401,6.571,68.008,68.008,0.004,1.001,1.025,1.186,1.403,1.549,-0.015,1.369,3.039,1.699,1.297,0.080,0.233,1.053,0.643,2.035,1.596,203.760,200.410,199.890,199.720,185.270,197.970,198.630,199.100,-1.239,0.009,-0.237,1.485,0.352,1.307,3.800,3.168,1.000,1.000,0.835,0
2010-06-02 14:00:00,41.313,0.116,0.000,424.800,216.144,849.600,1.050,10.730,52.520,56.520,110.030,48.376,9.893,0.130,0.093,-0.819,-0.633,-0.376,2.520,14.083,16.165,0.309,1.911,3.775,3.159,92.389,76.221,57.104,0.712,0.871,0.704,7.322,6.538,68.585,68.585,0.005,1.001,1.024,1.185,1.405,1.549,0.056,1.287,3.063,1.696,1.300,0.062,0.194,0.960,0.645,2.034,1.588,203.760,200.410,199.720,199.720,185.270,197.970,199.000,199.300,-1.020,-0.809,-0.248,1.473,0.262,1.341,3.566,3.058,0.685,0.929,0.813,0
