datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,31.547,0.095,-0.200,10.400,132.918,20.800,0.600,2.000,1.780,0.740,5.190,1.764,4.980,0.245,0.361,-0.530,-1.127,1.589,0.154,-0.045,-0.019,0.725,2.206,2.069,1.979,82.148,79.190,46.013,0.415,0.379,0.167,1.174,1.129,87.024,87.024,0.016,1.004,1.032,1.017,1.004,0.983,0.371,1.092,0.526,0.142,0.324,0.215,0.605,1.176,1.405,1.004,1.419,39.210,39.210,39.210,38.730,35.590,37.840,38.120,38.120,-0.426,-1.320,1.379,0.231,0.639,3.032,2.462,2.030,0.241,0.252,0.144,1
2010-06-02 10:00:00,31.788,0.095,-0.100,22.800,133.922,45.600,0.390,2.650,2.180,0.750,5.830,1.861,5.055,0.279,0.346,0.175,0.577,2.104,0.271,-0.040,-0.018,0.700,2.206,2.070,1.975,88.073,86.096,58.743,0.414,0.379,0.168,1.176,1.130,87.878,87.878,0.010,1.003,1.032,1.018,1.004,0.983,0.278,1.104,0.538,0.142,0.318,0.120,0.625,1.133,1.423,1.007,1.398,39.210,39.210,39.210,38.740,35.590,37.990,38.120,38.310,0.050,0.855,1.451,0.340,0.427,1.792,1.964,1.877,1.000,0.711,0.303,1
2010-06-02 10:30:00,31.825,0.095,0.000,38.000,134.095,76.000,0.440,2.880,2.270,0.990,5.080,1.965,5.062,0.604,0.415,0.390,0.865,2.269,0.301,-0.034,-0.017,0.655,2.204,2.068,1.968,87.757,85.727,57.650,0.417,0.383,0.170,1.176,1.131,88.265,88.265,0.011,1.004,1.031,1.019,1.005,0.984,0.176,1.109,0.548,0.141,0.311,0.085,0.684,1.080,1.425,1.011,1.390,39.210,39.210,39.210,38.740,35.590,37.990,38.120,38.510,0.247,1.030,1.468,0.449,0.506,1.211,1.729,1.904,1.000,0.516,0.286,1
2010-06-02 11:00:00,31.825,0.095,0.100,44.800,134.095,89.600,0.230,2.990,2.270,1.200,5.160,2.078,5.089,0.625,0.459,0.445,-0.003,2.330,0.304,-0.029,-0.016,0.623,2.195,2.066,1.964,87.757,85.727,57.650,0.428,0.388,0.173,1.177,1.131,88.790,88.790,0.006,1.005,1.031,1.020,1.005,0.984,0.131,1.132,0.559,0.142,0.303,0.073,0.674,1.006,1.449,1.013,1.369,39.210,39.210,39.210,38.740,35.590,37.990,38.120,38.600,0.302,-0.051,1.471,0.451,0.910,0.970,1.770,1.668,1.000,0.516,0.335,1
2010-06-02 11:30:00,31.769,0.095,0.500,50.800,133.853,101.600,0.610,3.010,2.250,0.930,5.170,2.193,5.101,0.421,0.279,0.245,-0.392,2.318,0.302,-0.024,-0.015,0.615,2.149,2.067,1.957,84.360,81.417,45.902,0.442,0.389,0.177,1.178,1.132,89.194,89.194,0.016,1.003,1.030,1.021,1.005,0.984,0.134,1.182,0.562,0.140,0.295,0.044,0.404,0.969,1.457,1.014,1.354,39.210,39.210,38.740,38.740,35.680,37.990,38.120,38.470,0.107,-0.713,1.473,0.465,0.579,1.282,1.934,1.689,1.000,0.630,0.131,1
2010-06-02 12:00:00,31.602,0.095,0.000,56.800,133.160,113.600,0.440,2.610,2.050,0.800,4.560,2.302,5.149,0.110,0.196,-0.089,-1.095,1.966,0.247,-0.018,-0.014,0.601,2.112,2.067,1.952,82.780,79.375,38.521,0.457,0.390,0.182,1.178,1.133,89.835,89.835,0.012,1.002,1.030,1.022,1.005,0.984,0.152,1.231,0.570,0.142,0.289,0.044,0.276,0.910,1.460,1.015,1.351,39.210,39.210,38.740,38.690,35.690,38.060,38.310,38.470,-0.126,-1.077,1.473,0.403,0.599,1.453,1.818,1.717,0.395,0.209,0.062,1
2010-06-02 12:30:00,31.658,0.095,0.100,58.400,133.403,116.800,0.320,2.630,2.070,0.730,4.920,2.403,5.184,-0.059,0.164,-0.004,-0.678,1.955,0.254,-0.012,-0.013,0.598,2.087,2.067,1.946,83.491,80.208,36.086,0.474,0.392,0.189,1.177,1.132,90.364,90.364,0.008,1.002,1.029,1.024,1.006,0.984,0.174,1.268,0.576,0.141,0.284,0.029,0.180,0.893,1.465,1.015,1.347,39.210,39.210,38.740,38.670,35.690,38.120,38.470,38.470,-0.052,-0.709,1.428,0.412,0.378,1.662,2.009,1.776,1.000,0.650,0.321,1
2010-06-02 13:00:00,31.918,0.096,-0.200,109.600,134.476,219.200,0.470,3.030,2.450,1.110,5.680,2.516,5.228,0.191,0.144,0.206,1.069,2.238,0.366,-0.007,-0.012,0.614,2.046,2.067,1.942,92.022,90.436,69.113,0.492,0.395,0.198,1.176,1.132,90.970,90.970,0.012,1.001,1.029,1.025,1.006,0.984,0.175,1.319,0.584,0.140,0.281,0.172,0.282,0.998,1.498,1.035,1.356,39.210,39.210,38.940,38.940,35.690,38.120,38.470,38.470,0.058,0.902,1.441,0.496,0.485,1.842,2.255,2.020,1.000,0.676,0.204,1
2010-06-02 13:30:00,31.973,0.096,0.100,126.000,134.718,252.000,0.520,3.150,2.470,1.470,5.380,2.637,5.282,0.578,0.124,0.513,1.004,2.298,0.374,-0.001,-0.011,0.615,1.994,2.068,1.938,92.654,91.193,71.560,0.513,0.400,0.208,1.175,1.132,91.616,91.616,0.014,1.001,1.029,1.026,1.006,0.985,0.201,1.376,0.593,0.140,0.279,0.217,0.282,1.004,1.514,1.041,1.353,39.210,39.210,38.940,38.940,35.690,38.120,38.470,38.610,0.296,1.083,1.433,0.496,0.901,1.571,2.302,2.060,1.000,0.681,0.223,1
2010-06-02 14:00:00,32.066,0.096,0.000,170.000,135.133,340.000,0.710,3.060,2.710,1.420,5.720,2.759,5.356,0.749,0.137,0.696,0.318,2.185,0.447,0.005,-0.009,0.616,1.949,2.068,1.937,95.419,94.508,82.263,0.536,0.413,0.220,1.173,1.131,92.346,92.346,0.019,1.001,1.029,1.027,1.007,0.985,0.238,1.432,0.610,0.143,0.276,0.173,0.359,1.091,1.544,1.054,1.360,39.210,39.210,39.040,39.040,35.690,38.120,38.470,38.850,0.450,0.443,1.412,0.552,0.603,2.102,2.177,2.036,0.285,0.194,-0.004,1
2010-06-02 14:30:00,31.992,0.096,-0.100,200.400,134.822,400.800,0.110,2.900,2.620,1.590,5.870,2.871,5.342,0.788,0.254,0.906,-0.135,2.036,0.424,0.011,-0.008,0.497,1.921,2.068,1.935,94.471,93.371,93.116,0.554,0.423,0.231,1.171,1.131,92.160,92.160,0.003,1.003,1.028,1.028,1.007,0.985,0.175,1.463,0.614,0.144,0.273,0.269,0.542,0.852,1.570,1.065,1.356,39.210,39.040,39.040,39.040,35.690,38.120,38.470,38.860,0.706,-0.053,1.401,0.522,0.505,3.217,2.630,2.333,0.344,0.237,0.034,0
2010-06-02 15:00:00,32.085,0.096,0.200,212.800,135.202,425.600,0.370,3.240,2.730,1.720,5.920,2.992,5.338,0.671,0.395,1.029,-0.066,2.269,0.458,0.017,-0.007,0.460,1.878,2.068,1.935,95.340,94.413,96.377,0.581,0.432,0.246,1.167,1.129,92.459,92.459,0.010,1.004,1.027,1.029,1.008,0.985,0.097,1.503,0.619,0.146,0.272,0.173,0.629,0.762,1.581,1.068,1.351,39.210,39.060,39.060,39.060,35.690,38.120,38.470,38.860,0.852,-0.404,1.407,0.561,0.449,2.769,2.643,2.420,0.378,0.330,0.111,0
2010-06-02 15:30:00,32.585,0.098,0.300,459.600,137.314,919.200,1.320,3.960,3.670,2.520,6.620,3.132,5.481,0.929,0.534,1.395,2.533,2.760,0.742,0.023,-0.006,0.431,1.823,2.063,1.941,100.000,100.000,100.000,0.613,0.455,0.260,1.166,1.129,93.522,93.522,0.034,1.005,1.028,1.031,1.008,0.986,0.260,1.580,0.655,0.161,0.272,0.567,0.878,1.226,1.724,1.150,1.401,39.670,39.670,39.670,39.670,35.870,38.400,38.610,38.900,1.024,1.549,1.459,0.741,0.507,2.338,2.546,2.268,0.478,0.421,0.259,0
