datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,116.161,0.832,0.600,17.600,122.575,17.600,1.740,1.510,5.240,-0.120,42.780,10.708,1.996,-0.921,-0.268,-0.660,0.121,-0.017,-0.489,3.594,7.422,0.552,1.956,1.814,2.164,58.844,39.380,29.471,-0.021,0.035,0.255,4.816,5.019,50.869,50.869,0.011,0.997,1.000,1.021,1.095,1.172,0.116,0.485,0.348,0.150,0.544,0.198,0.373,1.134,1.468,1.500,1.617,171.500,168.070,166.700,165.890,160.420,163.410,163.410,163.410,-0.621,0.125,0.062,-0.488,0.618,2.335,2.126,2.199,0.373,0.355,0.325,0
2010-06-02 10:00:00,116.124,0.832,0.000,27.800,122.538,27.800,0.560,3.190,5.580,1.200,42.250,10.698,2.004,-0.846,-0.445,-0.844,1.138,0.261,-0.435,3.590,7.420,0.551,1.956,1.809,2.156,61.622,43.472,39.199,-0.023,0.037,0.256,4.813,5.016,52.954,52.954,0.003,0.996,1.000,1.021,1.094,1.172,0.072,0.482,0.362,0.138,0.540,0.123,0.421,1.040,1.456,1.499,1.617,171.500,168.070,166.450,165.390,160.420,163.410,163.410,163.510,-0.726,1.046,0.445,-0.346,0.597,2.756,2.410,2.383,0.015,0.028,-0.013,1
2010-06-02 10:30:00,116.271,0.833,-0.100,41.400,122.693,41.400,-1.180,3.910,5.650,1.090,43.770,10.699,1.950,-0.429,-0.499,-0.652,0.105,0.378,-0.423,3.587,7.419,0.490,1.959,1.806,2.140,64.502,47.714,49.285,-0.032,0.037,0.256,4.811,5.013,51.079,51.079,-0.007,0.995,0.999,1.021,1.094,1.172,0.012,0.471,0.366,0.124,0.536,0.078,0.516,0.804,1.453,1.495,1.618,171.500,168.070,166.450,165.810,160.420,163.410,163.410,165.030,-0.661,0.389,0.509,-0.288,0.474,2.284,2.097,2.251,-0.397,-0.250,-0.046,0
2010-06-02 11:00:00,116.271,0.833,0.100,48.400,122.693,48.400,-1.650,4.670,5.430,2.210,43.910,10.708,1.856,-0.309,-0.518,-0.371,0.311,0.502,-0.455,3.584,7.418,0.484,1.963,1.802,2.119,62.806,43.112,43.348,-0.031,0.037,0.257,4.809,5.011,47.142,47.142,-0.010,0.995,0.998,1.022,1.094,1.172,-0.090,0.463,0.371,0.116,0.532,0.074,0.532,0.738,1.448,1.492,1.615,171.500,168.070,166.040,165.810,160.830,163.410,163.410,165.130,-0.393,0.386,0.444,-0.375,0.466,2.605,2.242,2.036,0.030,-0.155,0.189,0
2010-06-02 11:30:00,115.941,0.831,-0.000,50.400,122.352,50.400,-2.210,4.260,5.530,1.590,44.380,10.717,1.712,-0.259,-0.419,-0.581,-0.161,0.428,-0.436,3.580,7.416,0.444,1.970,1.807,2.099,61.029,39.992,39.318,-0.027,0.038,0.259,4.804,5.007,40.917,40.917,-0.013,0.996,0.996,1.022,1.094,1.172,-0.178,0.454,0.364,0.106,0.528,0.038,0.496,0.640,1.445,1.485,1.613,171.500,167.810,165.890,165.550,161.040,163.410,163.410,165.090,-0.728,-0.081,0.411,-0.291,0.449,2.124,2.012,2.001,0.434,0.236,0.291,0
2010-06-02 12:00:00,116.015,0.831,0.000,53.200,122.426,53.200,-1.650,4.050,5.770,1.950,43.770,10.722,1.574,-0.224,-0.279,-0.476,0.009,0.386,-0.397,3.577,7.415,0.443,1.974,1.810,2.077,61.336,38.895,49.386,-0.023,0.038,0.261,4.792,4.999,36.123,36.123,-0.010,0.997,0.995,1.022,1.094,1.172,-0.223,0.449,0.360,0.097,0.525,0.021,0.325,0.608,1.448,1.483,1.608,171.500,166.950,165.810,165.450,161.240,163.410,163.510,165.030,-0.525,-0.153,0.278,-0.259,0.471,2.627,2.230,2.092,0.111,0.134,0.313,0
2010-06-02 12:30:00,115.941,0.831,-0.100,56.000,122.352,56.000,-1.760,3.080,5.470,3.780,43.910,10.722,1.481,-0.197,-0.120,-0.618,0.305,0.214,-0.442,3.573,7.413,0.417,1.974,1.812,2.058,61.356,34.578,52.583,-0.018,0.038,0.264,4.771,4.987,33.645,33.645,-0.011,0.999,0.994,1.023,1.094,1.172,-0.170,0.449,0.358,0.093,0.522,0.027,0.186,0.555,1.452,1.482,1.601,171.500,166.700,165.810,165.300,161.860,163.410,165.030,165.030,-0.674,0.429,0.119,-0.393,0.459,1.973,1.655,1.821,0.129,0.032,0.318,0
2010-06-02 13:00:00,115.905,0.830,0.000,56.400,122.315,56.400,-1.660,2.620,6.670,4.140,42.520,10.716,1.379,-0.152,-0.066,-0.369,0.070,0.129,-0.250,3.569,7.412,0.411,1.979,1.812,2.046,60.417,32.988,49.544,-0.020,0.040,0.268,4.747,4.973,31.176,31.176,-0.010,0.999,0.993,1.023,1.094,1.172,-0.128,0.437,0.357,0.090,0.517,0.016,0.144,0.534,1.454,1.466,1.596,171.500,166.700,165.810,165.300,161.860,163.410,165.030,165.040,-0.485,0.082,0.024,-0.106,0.373,1.855,1.587,1.766,0.084,0.049,0.275,0
2010-06-02 13:30:00,115.978,0.831,0.000,58.400,122.389,58.400,-1.050,3.120,6.570,4.840,42.290,10.710,1.278,-0.108,-0.042,-0.201,0.304,0.210,-0.266,3.564,7.410,0.408,1.983,1.812,2.034,60.825,33.679,55.811,-0.016,0.043,0.271,4.722,4.959,28.903,28.903,-0.006,1.000,0.992,1.023,1.094,1.172,-0.132,0.430,0.357,0.089,0.513,0.013,0.096,0.485,1.435,1.462,1.595,171.500,166.450,165.550,165.240,161.860,163.410,165.030,165.040,-0.317,0.408,0.089,-0.118,0.396,1.765,1.529,1.810,0.097,0.047,0.276,1
2010-06-02 14:00:00,115.868,0.830,0.000,59.200,122.271,59.200,-1.160,2.810,6.810,4.070,42.460,10.706,1.183,-0.044,-0.011,-0.292,0.168,0.152,-0.225,3.560,7.408,0.408,1.988,1.807,2.020,60.376,32.498,54.887,-0.026,0.047,0.275,4.695,4.943,26.967,26.967,-0.007,1.000,0.991,1.023,1.094,1.172,-0.126,0.417,0.363,0.088,0.509,0.017,0.065,0.451,1.440,1.460,1.588,171.500,166.350,165.450,165.140,161.920,163.410,164.980,164.980,-0.554,0.082,0.044,-0.034,0.394,1.457,1.143,1.622,0.131,0.315,0.444,1
