datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,67.705,0.411,-0.300,77.400,84.393,77.400,-0.610,1.220,-1.660,1.060,10.520,3.244,1.592,-0.516,-0.190,-0.615,0.076,0.390,-0.989,0.774,3.158,0.342,1.522,1.765,1.670,64.731,54.064,46.154,0.369,0.019,0.092,2.310,2.559,41.339,41.339,-0.006,0.998,1.005,1.001,1.024,1.144,-0.092,0.724,-0.198,0.086,0.229,0.341,0.651,0.920,1.130,0.652,0.698,99.350,97.830,97.630,97.370,94.060,96.140,96.140,96.140,-0.508,0.207,0.326,-0.842,0.283,1.441,1.610,1.524,-0.083,-0.284,0.018,1
2010-06-02 10:00:00,67.705,0.411,-0.100,116.200,84.393,116.200,-0.450,1.370,-1.110,0.770,10.800,3.256,1.555,-0.376,-0.263,-0.419,0.095,0.435,-0.837,0.773,3.154,0.334,1.511,1.762,1.670,62.893,51.670,38.659,0.360,0.020,0.092,2.301,2.552,39.159,39.159,-0.005,0.997,1.005,1.001,1.024,1.144,-0.081,0.674,-0.192,0.085,0.226,0.160,0.675,0.925,1.091,0.645,0.694,99.350,97.830,97.630,97.010,94.060,96.140,96.140,96.540,-0.393,0.100,0.535,-0.794,0.387,1.885,1.836,1.543,-0.555,-0.359,0.030,0
2010-06-02 10:30:00,67.760,0.411,-0.200,144.200,84.463,144.200,-0.450,1.610,-0.990,-1.420,10.680,3.269,1.537,-0.307,-0.355,-0.278,0.367,0.512,-0.802,0.772,3.149,0.328,1.498,1.746,1.669,64.441,53.686,44.970,0.348,0.022,0.090,2.291,2.545,37.910,37.910,-0.005,0.996,1.004,1.001,1.024,1.143,-0.069,0.629,-0.172,0.086,0.223,0.056,0.677,0.896,1.096,0.645,0.681,99.350,97.830,97.370,97.020,94.060,96.140,96.140,96.740,-0.258,0.531,0.715,-0.626,0.302,1.968,2.122,2.004,-0.518,-0.333,0.012,0
2010-06-02 11:00:00,67.842,0.412,0.000,164.800,84.568,164.800,-0.290,2.250,-1.190,-0.340,10.750,3.288,1.509,-0.300,-0.345,-0.105,0.652,0.726,-0.855,0.771,3.144,0.329,1.496,1.732,1.668,64.054,53.182,43.393,0.333,0.024,0.093,2.281,2.538,36.093,36.093,-0.003,0.997,1.003,1.001,1.024,1.143,-0.062,0.593,-0.155,0.081,0.221,0.042,0.544,0.876,1.092,0.644,0.676,99.350,97.830,97.370,97.020,94.060,96.140,96.140,96.630,-0.106,1.220,0.786,-0.680,0.380,1.595,1.808,1.707,-0.197,-0.143,0.112,1
2010-06-02 11:30:00,67.732,0.411,-0.000,182.400,84.428,182.400,-0.810,2.560,-1.270,-0.140,10.630,3.322,1.454,-0.239,-0.263,-0.150,0.157,0.829,-0.875,0.770,3.140,0.306,1.506,1.725,1.667,63.474,49.978,46.532,0.315,0.027,0.096,2.271,2.531,33.110,33.110,-0.008,0.997,1.002,1.002,1.024,1.143,-0.101,0.573,-0.145,0.075,0.219,0.037,0.525,0.808,1.073,0.645,0.672,99.350,97.630,97.370,96.980,94.500,96.140,96.140,96.630,-0.149,0.295,0.824,-0.792,0.316,1.706,1.810,1.576,0.130,0.030,0.210,1
2010-06-02 12:00:00,67.732,0.411,-0.100,211.200,84.428,211.200,-0.530,2.040,-1.230,0.460,11.060,3.347,1.408,-0.194,-0.189,-0.239,-0.123,0.642,-0.862,0.769,3.135,0.303,1.513,1.721,1.667,63.280,47.619,45.638,0.295,0.029,0.100,2.259,2.523,30.754,30.754,-0.005,0.998,1.001,1.002,1.023,1.143,-0.119,0.544,-0.139,0.072,0.218,0.045,0.288,0.797,1.077,0.645,0.669,99.350,97.630,97.020,96.980,94.520,96.140,96.540,96.670,-0.224,-0.174,0.681,-0.811,0.258,1.351,1.767,1.438,-0.189,-0.138,0.214,0
2010-06-02 12:30:00,67.705,0.411,-0.000,216.600,84.393,216.600,-0.730,1.680,-1.030,0.620,11.180,3.369,1.362,-0.194,-0.139,-0.358,0.185,0.512,-0.804,0.768,3.130,0.302,1.519,1.720,1.665,62.506,46.515,42.058,0.274,0.032,0.105,2.246,2.515,28.581,28.581,-0.007,0.999,1.001,1.003,1.023,1.143,-0.110,0.515,-0.136,0.067,0.218,0.034,0.140,0.778,1.075,0.643,0.667,99.350,97.630,97.020,96.860,94.520,96.140,96.630,96.670,-0.359,0.354,0.458,-1.129,0.374,1.507,1.651,1.478,-0.151,-0.119,0.215,0
2010-06-02 13:00:00,67.732,0.411,-0.100,228.600,84.428,228.600,-0.810,1.840,-0.720,0.290,11.410,3.388,1.310,-0.100,-0.084,-0.173,0.303,0.561,-0.715,0.767,3.126,0.301,1.524,1.712,1.662,63.861,48.447,48.322,0.250,0.035,0.111,2.234,2.506,26.472,26.472,-0.008,0.999,1.000,1.003,1.023,1.142,-0.111,0.485,-0.125,0.060,0.218,0.018,0.114,0.772,1.072,0.641,0.665,99.350,97.630,97.020,96.940,94.520,96.140,96.630,96.740,-0.215,0.507,0.547,-1.104,0.224,1.490,1.660,1.702,0.152,0.169,0.110,0
2010-06-02 13:30:00,67.814,0.411,0.000,239.400,84.533,239.400,-0.730,1.800,-0.680,0.650,11.210,3.410,1.261,0.015,-0.029,0.001,0.751,0.540,-0.702,0.766,3.121,0.300,1.530,1.706,1.660,64.248,48.999,50.112,0.225,0.039,0.117,2.223,2.498,24.621,24.621,-0.007,1.000,0.999,1.003,1.023,1.142,-0.110,0.462,-0.116,0.051,0.218,0.024,0.102,0.737,1.070,0.640,0.664,99.350,97.630,96.980,96.940,94.520,96.140,96.630,96.780,-0.064,0.869,0.517,-0.975,0.358,1.797,1.798,1.719,0.163,0.174,0.127,0
2010-06-02 14:00:00,67.787,0.411,-0.000,248.800,84.498,248.800,0.100,1.080,-0.320,0.090,11.560,3.418,1.231,0.066,0.019,-0.059,0.481,0.287,-0.598,0.765,3.117,0.272,1.527,1.701,1.655,64.054,48.723,59.621,0.198,0.044,0.125,2.208,2.489,23.622,23.622,0.001,1.000,0.998,1.003,1.022,1.142,-0.086,0.429,-0.106,0.043,0.218,0.026,0.107,0.630,1.051,0.638,0.662,99.350,97.370,96.980,96.940,94.520,96.140,96.670,96.820,-0.189,0.670,0.287,-0.659,0.192,1.710,1.630,1.659,-0.165,-0.159,-0.033,1
2010-06-02 14:30:00,67.623,0.410,-0.200,341.800,84.297,341.800,-0.050,1.010,-0.750,0.700,11.250,3.430,1.239,0.061,0.018,-0.146,-0.821,0.257,-0.718,0.764,3.112,0.249,1.523,1.698,1.652,64.877,49.896,64.228,0.170,0.051,0.133,2.193,2.479,24.331,24.331,-0.001,1.000,0.998,1.003,1.022,1.142,-0.030,0.408,-0.097,0.039,0.218,0.132,0.206,0.619,1.056,0.643,0.662,99.350,97.370,97.330,97.330,94.520,96.140,96.630,96.630,-0.243,-1.652,0.172,-0.731,0.111,1.683,1.685,1.721,-0.367,-0.272,-0.014,1
2010-06-02 15:00:00,67.131,0.407,-0.300,530.600,83.695,530.600,-1.430,0.990,-1.360,-0.440,10.000,3.437,1.197,-0.245,-0.031,-0.449,-3.003,0.248,-0.889,0.762,3.107,0.283,1.526,1.697,1.651,53.701,33.954,15.385,0.130,0.053,0.140,2.181,2.471,22.497,22.497,-0.015,1.000,0.997,1.004,1.022,1.142,-0.049,0.379,-0.094,0.031,0.217,0.346,0.392,0.639,1.072,0.648,0.665,99.350,97.330,97.330,97.330,94.520,95.940,95.940,95.940,-0.507,-1.947,0.404,-0.913,0.308,2.155,1.876,1.821,-0.017,-0.078,0.009,1
2010-06-02 15:30:00,67.295,0.408,0.100,625.600,83.896,625.600,-0.370,1.180,-0.220,0.990,8.200,3.448,1.165,-0.610,-0.108,-0.336,-1.081,0.309,-0.563,0.761,3.103,0.262,1.530,1.689,1.651,53.314,33.402,13.909,0.082,0.056,0.140,2.168,2.462,21.271,21.271,-0.004,0.999,0.997,1.004,1.022,1.142,-0.089,0.362,-0.082,0.027,0.214,0.487,0.702,0.463,1.066,0.647,0.661,99.350,97.330,97.330,96.410,94.520,95.940,95.940,95.940,-0.540,-1.585,0.664,-0.547,0.226,1.703,1.502,1.589,0.009,-0.051,0.037,1
2010-06-03 09:30:00,67.568,0.410,0.200,39.600,84.245,39.600,-0.170,1.220,0.220,1.350,7.370,3.453,1.146,-0.527,-0.121,-0.203,1.045,0.320,-0.436,0.760,3.100,0.250,1.532,1.685,1.650,58.104,40.235,37.650,0.082,0.056,0.138,2.162,2.458,20.669,20.669,-0.002,0.999,0.997,1.004,1.022,1.141,-0.086,0.356,-0.076,0.027,0.212,0.307,0.754,0.458,1.066,0.648,0.660,99.350,97.330,97.330,96.570,94.520,95.940,95.940,95.940,-0.465,1.087,1.255,-0.371,0.196,1.441,1.463,1.505,0.025,-0.267,-0.077,1
2010-06-03 10:00:00,67.760,0.411,0.000,298.800,84.481,298.800,0.100,1.730,0.410,0.730,7.120,3.469,1.143,-0.142,-0.123,-0.041,1.971,0.493,-0.380,0.759,3.096,0.284,1.529,1.681,1.650,63.570,48.033,64.748,0.084,0.059,0.137,2.150,2.449,20.934,20.934,0.001,0.999,0.996,1.004,1.022,1.141,-0.040,0.361,-0.065,0.028,0.206,0.437,0.851,0.616,1.091,0.658,0.661,99.350,97.330,97.330,96.880,94.520,95.940,95.940,96.100,-0.190,1.545,1.126,-0.367,0.340,1.864,1.774,1.540,-0.291,-0.226,-0.009,0
2010-06-03 10:30:00,67.760,0.411,-0.100,337.400,84.481,337.400,0.020,1.920,0.480,0.320,7.400,3.491,1.138,0.155,-0.126,-0.086,0.623,0.556,-0.358,0.758,3.091,0.283,1.524,1.676,1.650,63.957,45.421,66.667,0.089,0.062,0.138,2.138,2.441,21.170,21.170,0.000,0.999,0.996,1.004,1.022,1.141,0.001,0.371,-0.054,0.028,0.200,0.369,0.875,0.629,1.090,0.656,0.658,99.350,97.330,97.330,96.960,94.800,95.940,95.940,96.840,-0.255,0.789,1.227,-0.428,0.274,1.946,2.064,2.003,-0.251,-0.195,0.118,0
2010-06-03 11:00:00,67.814,0.411,0.000,356.600,84.550,356.600,-0.020,1.920,1.470,0.440,7.280,3.506,1.132,0.144,-0.130,-0.052,0.175,0.551,-0.069,0.756,3.086,0.279,1.525,1.664,1.649,64.151,45.714,67.626,0.085,0.068,0.142,2.126,2.432,21.755,21.755,-0.000,0.999,0.996,1.005,1.022,1.141,0.005,0.368,-0.035,0.033,0.195,0.072,0.875,0.635,1.084,0.649,0.654,99.350,97.330,97.330,96.960,94.800,95.940,95.940,96.800,-0.337,0.128,1.268,-0.044,0.355,1.611,1.556,1.701,-0.495,-0.135,0.147,1
2010-06-03 11:30:00,67.514,0.410,0.000,396.000,84.175,396.000,-0.290,1.410,1.960,0.420,6.920,3.522,1.092,0.003,-0.108,-0.388,-0.750,0.370,0.080,0.755,3.082,0.285,1.526,1.640,1.649,58.878,34.186,41.487,0.066,0.069,0.144,2.114,2.424,20.686,20.686,-0.003,0.999,0.995,1.005,1.022,1.141,-0.021,0.351,-0.012,0.036,0.190,0.071,0.645,0.653,1.087,0.643,0.652,99.350,97.330,96.960,96.920,95.090,95.940,95.940,96.490,-0.717,-0.902,0.850,0.185,0.230,1.727,1.349,1.578,-0.142,0.049,0.246,1
2010-06-03 12:00:00,68.224,0.414,-0.100,748.400,85.074,748.400,0.740,2.040,2.870,1.970,7.830,3.548,1.127,0.273,0.069,0.133,1.150,0.579,0.347,0.754,3.077,0.424,1.528,1.612,1.650,74.794,59.233,80.064,0.069,0.083,0.144,2.111,2.420,29.407,29.407,0.008,1.001,0.995,1.005,1.022,1.141,0.033,0.353,0.021,0.042,0.185,0.341,0.693,0.865,1.128,0.658,0.659,99.350,98.030,98.030,98.030,95.090,95.940,96.100,96.410,-0.241,0.872,1.097,0.558,0.369,1.350,1.339,1.445,-0.148,0.053,0.203,0
2010-06-03 12:30:00,68.224,0.414,-0.200,829.200,85.074,829.200,0.780,2.120,2.820,2.890,6.760,3.570,1.170,0.734,0.221,0.053,1.624,0.602,0.333,0.752,3.073,0.429,1.528,1.587,1.650,75.181,59.859,81.340,0.076,0.102,0.145,2.110,2.417,37.556,37.556,0.008,1.002,0.996,1.006,1.022,1.140,0.126,0.354,0.054,0.050,0.179,0.353,0.644,0.924,1.132,0.661,0.655,99.350,98.030,98.030,98.030,95.090,95.940,96.410,96.410,-0.329,1.634,1.122,0.546,0.429,1.520,1.269,1.459,-0.107,0.079,0.213,0
2010-06-03 13:00:00,68.306,0.414,0.000,950.800,85.178,950.800,0.860,2.070,2.940,2.810,7.830,3.595,1.221,0.820,0.305,0.036,-0.039,0.579,0.370,0.751,3.068,0.437,1.530,1.563,1.645,75.568,60.485,82.616,0.085,0.122,0.145,2.110,2.415,45.443,45.443,0.009,1.003,0.996,1.006,1.022,1.140,0.147,0.362,0.087,0.060,0.173,0.152,0.488,0.996,1.141,0.666,0.656,99.350,98.030,98.030,98.030,95.090,95.940,96.410,97.480,-0.309,0.003,1.173,0.454,0.530,1.504,1.350,1.589,0.197,0.366,0.100,0
2010-06-03 13:30:00,68.306,0.414,-0.100,1049.600,85.178,1049.600,0.740,2.350,3.020,2.800,7.660,3.621,1.264,0.820,0.380,0.003,-0.040,0.674,0.396,0.750,3.064,0.439,1.531,1.540,1.636,75.568,60.485,82.616,0.094,0.144,0.144,2.110,2.412,51.282,51.282,0.008,1.004,0.996,1.006,1.022,1.140,0.148,0.366,0.118,0.069,0.167,0.155,0.500,1.050,1.154,0.670,0.656,99.350,98.030,98.030,98.030,95.090,95.940,96.410,97.640,-0.341,-0.021,1.248,0.367,0.522,1.800,1.471,1.581,0.220,0.377,0.117,0
2010-06-03 14:00:00,67.923,0.412,-0.800,1521.200,84.716,1521.200,0.250,1.900,2.650,2.270,6.810,3.653,1.325,0.818,0.483,0.135,-1.126,0.516,0.291,0.750,3.059,0.468,1.531,1.517,1.624,75.423,59.696,63.113,0.139,0.170,0.144,2.117,2.413,57.682,57.682,0.003,1.005,0.997,1.006,1.022,1.140,0.159,0.392,0.151,0.081,0.162,0.302,0.618,1.314,1.202,0.692,0.666,99.350,98.660,98.660,98.660,95.170,95.940,96.410,97.110,-0.106,-0.954,1.142,0.257,0.424,1.648,1.306,1.455,0.246,0.091,-0.030,0
2010-06-03 14:30:00,67.322,0.408,0.300,1849.000,83.975,1849.000,-0.370,0.770,1.920,2.020,5.090,3.657,1.257,0.115,0.482,-0.222,-1.882,0.126,0.079,0.749,3.055,0.676,1.534,1.489,1.611,54.620,21.130,10.417,0.107,0.156,0.123,2.127,2.416,53.224,53.224,-0.004,1.005,0.996,1.006,1.022,1.140,0.039,0.386,0.171,0.084,0.153,0.377,0.685,1.419,1.239,0.706,0.672,99.350,98.660,98.660,98.660,95.410,95.940,95.950,95.950,-0.385,-1.700,0.729,0.114,0.659,1.700,1.314,1.456,-0.470,-0.332,-0.181,1
2010-06-03 15:00:00,66.749,0.405,0.200,2038.400,83.268,2038.400,-0.490,0.000,1.140,0.280,4.630,3.652,1.217,-0.944,0.232,-0.912,-1.684,-0.138,-0.150,0.748,3.050,0.677,1.538,1.461,1.600,43.735,4.249,1.955,0.064,0.149,0.104,2.140,2.420,50.929,50.929,-0.005,1.002,0.996,1.007,1.023,1.140,-0.075,0.374,0.193,0.088,0.145,0.244,0.608,1.404,1.250,0.713,0.674,99.350,98.660,98.660,96.530,95.250,95.250,95.250,95.250,-0.801,-1.758,0.357,-0.023,0.900,2.169,1.580,1.732,-0.413,-0.152,-0.155,1
2010-06-03 15:30:00,66.120,0.401,0.200,2266.000,82.491,2266.000,-1.610,-1.130,-0.190,-1.050,4.480,3.634,1.116,-1.538,-0.129,-0.965,-1.609,-0.521,-0.543,0.746,3.045,0.708,1.552,1.453,1.596,31.205,1.077,1.252,-0.002,0.134,0.078,2.167,2.432,43.859,43.859,-0.017,0.999,0.995,1.006,1.022,1.140,-0.123,0.344,0.199,0.083,0.138,0.185,0.638,1.477,1.260,0.713,0.674,99.350,98.660,98.660,96.460,94.400,94.400,94.400,94.400,-0.733,-1.323,-0.323,-0.274,0.770,1.867,1.499,1.555,-0.402,-0.133,-0.133,1
2010-06-04 09:30:00,65.902,0.400,-0.400,116.400,82.221,116.400,-2.320,-3.410,-0.220,-2.060,4.830,3.609,1.035,-1.901,-0.341,-1.205,-1.545,-1.274,-0.551,0.746,3.043,0.709,1.558,1.453,1.597,30.092,3.704,4.304,-0.004,0.134,0.076,2.184,2.439,39.222,39.222,-0.024,0.997,0.994,1.006,1.022,1.139,-0.204,0.312,0.200,0.078,0.136,0.188,0.612,1.526,1.245,0.716,0.674,99.350,98.660,98.660,95.720,94.250,94.250,94.250,94.250,-0.965,-0.916,-0.780,-0.280,0.707,1.234,1.536,1.536,-0.418,-0.332,-0.248,1
2010-06-04 10:00:00,65.656,0.398,-0.000,202.200,81.916,202.200,-2.940,-4.680,0.260,-2.650,4.130,3.532,0.811,-2.295,-0.732,-1.373,-0.884,-1.671,-0.406,0.744,3.038,0.686,1.557,1.462,1.605,22.980,1.509,1.735,-0.019,0.133,0.074,2.223,2.456,29.830,29.830,-0.030,0.993,0.993,1.006,1.022,1.139,-0.365,0.214,0.194,0.065,0.133,0.143,0.681,1.497,1.181,0.715,0.670,99.350,98.660,98.660,94.870,93.900,93.900,93.900,93.900,-1.232,-0.824,-0.819,-0.122,0.904,1.212,1.800,1.673,-0.774,-0.283,-0.165,1
2010-06-04 10:30:00,65.246,0.396,-0.200,382.200,81.410,382.200,-3.520,-5.260,0.510,-2.950,4.250,3.442,0.530,-2.562,-1.224,-1.695,-0.468,-1.843,-0.327,0.742,3.034,0.693,1.552,1.467,1.619,13.740,1.111,1.255,-0.045,0.132,0.070,2.270,2.478,22.605,22.605,-0.036,0.988,0.991,1.005,1.022,1.139,-0.501,0.096,0.192,0.052,0.129,0.117,0.533,1.597,1.176,0.717,0.672,99.350,98.660,97.970,94.400,93.320,93.320,93.320,93.320,-1.463,-0.253,-0.798,-0.025,0.741,1.459,2.054,2.156,-0.771,-0.259,-0.045,0
2010-06-04 11:00:00,65.109,0.395,-0.200,454.800,81.235,454.800,-3.800,-4.980,-0.050,-2.790,3.690,3.349,0.217,-2.802,-1.586,-1.864,-0.232,-1.740,-0.495,0.739,3.029,0.695,1.577,1.487,1.635,10.934,4.413,4.945,-0.077,0.131,0.065,2.324,2.504,17.479,17.479,-0.039,0.984,0.989,1.004,1.022,1.138,-0.588,-0.017,0.184,0.039,0.125,0.109,0.396,1.642,1.172,0.716,0.672,99.350,98.660,96.460,93.860,92.930,92.930,92.930,92.930,-1.571,-0.239,-0.848,-0.218,0.629,1.635,1.878,1.882,-1.000,-0.212,-0.020,0
2010-06-04 11:30:00,65.164,0.395,-0.300,487.800,81.305,487.800,-3.290,-5.020,-0.130,-2.750,4.120,3.259,-0.059,-2.681,-1.833,-1.778,0.437,-1.732,-0.517,0.735,3.024,0.705,1.568,1.508,1.646,11.901,5.452,6.108,-0.113,0.130,0.059,2.378,2.529,14.368,14.368,-0.034,0.982,0.987,1.003,1.022,1.138,-0.586,-0.128,0.173,0.028,0.121,0.046,0.347,1.645,1.169,0.717,0.670,99.350,98.660,95.720,93.440,92.930,92.930,92.930,92.930,-1.561,0.549,-0.900,-0.279,0.570,1.392,1.727,1.730,-0.686,-0.054,0.079,0
2010-06-04 12:00:00,65.137,0.395,0.100,542.200,81.270,542.200,-4.360,-4.860,0.180,-2.710,4.030,3.168,-0.428,-2.349,-1.868,-1.817,0.696,-1.665,-0.421,0.732,3.019,0.589,1.613,1.558,1.669,8.128,3.211,3.590,-0.152,0.129,0.053,2.432,2.555,11.411,11.411,-0.045,0.981,0.984,1.003,1.022,1.138,-0.643,-0.249,0.149,0.010,0.116,0.043,0.319,1.442,1.162,0.718,0.670,99.350,98.660,94.870,93.440,92.810,92.810,92.810,92.810,-1.549,1.112,-0.850,-0.192,0.615,2.011,1.942,1.761,-0.666,-0.029,0.051,0
2010-06-04 12:30:00,64.672,0.392,0.200,635.000,80.694,635.000,-5.020,-5.720,-0.680,-3.410,3.250,3.068,-0.842,-2.296,-1.805,-2.130,0.041,-1.918,-0.681,0.727,3.014,0.586,1.679,1.619,1.699,1.287,0.900,0.997,-0.199,0.128,0.046,2.491,2.584,9.117,9.117,-0.051,0.982,0.981,1.002,1.022,1.137,-0.786,-0.376,0.122,-0.012,0.110,0.073,0.256,1.463,1.150,0.720,0.671,99.350,98.660,94.400,93.160,92.310,92.310,92.310,92.310,-1.541,0.133,-0.954,-0.523,0.827,2.300,2.089,1.867,-0.641,-0.003,0.060,0
2010-06-04 13:00:00,64.563,0.392,-0.200,690.000,80.564,690.000,-5.290,-5.910,-0.350,-5.180,2.790,2.969,-1.282,-2.138,-1.653,-2.234,-0.016,-1.956,-0.579,0.723,3.008,0.575,1.746,1.682,1.731,2.746,2.746,3.045,-0.250,0.127,0.043,2.552,2.614,7.418,7.418,-0.054,0.983,0.977,1.001,1.022,1.137,-0.857,-0.506,0.095,-0.041,0.105,0.075,0.249,1.413,1.165,0.717,0.663,99.350,98.660,93.860,92.770,92.310,92.310,92.310,92.310,-1.642,0.111,-0.848,-0.308,0.521,2.457,2.168,2.001,-0.333,0.276,0.081,0
2010-06-04 13:30:00,64.727,0.393,0.100,768.400,80.764,768.400,-5.060,-5.890,-0.160,-5.190,3.450,2.865,-1.727,-1.815,-1.417,-2.185,1.323,-1.923,-0.519,0.717,3.003,0.578,1.801,1.744,1.764,3.818,3.818,4.225,-0.305,0.126,0.043,2.614,2.645,6.153,6.153,-0.052,0.986,0.974,1.000,1.022,1.137,-0.888,-0.640,0.067,-0.073,0.099,0.069,0.199,1.398,1.170,0.719,0.661,99.350,98.660,93.440,92.660,92.190,92.190,92.190,92.190,-1.688,1.084,-0.865,-0.274,0.507,2.382,2.197,1.958,-0.314,0.288,0.093,0
2010-06-04 14:00:00,64.973,0.394,0.200,837.200,81.078,837.200,-4.170,-5.330,-0.840,-5.240,4.120,2.766,-2.154,-1.228,-1.034,-1.994,2.038,-1.730,-0.723,0.712,2.997,0.575,1.825,1.803,1.793,8.613,8.613,12.740,-0.368,0.124,0.044,2.667,2.671,5.228,5.228,-0.043,0.990,0.970,1.000,1.022,1.136,-0.877,-0.776,0.036,-0.106,0.094,0.096,0.249,1.111,1.172,0.715,0.658,99.350,96.530,93.440,92.940,92.190,92.190,92.190,92.190,-1.641,1.610,-0.938,-0.531,0.473,1.858,1.944,1.733,-0.221,0.064,-0.039,1
2010-06-04 14:30:00,65.137,0.395,0.000,1019.800,81.296,1019.800,-3.070,-5.280,-0.470,-4.870,5.190,2.674,-2.392,-0.439,-0.771,-1.769,1.478,-1.693,-0.609,0.705,2.992,0.475,1.768,1.822,1.802,14.851,14.851,24.902,-0.441,0.123,0.044,2.693,2.684,4.791,4.791,-0.032,0.992,0.969,0.999,1.022,1.136,-0.669,-0.878,0.018,-0.130,0.094,0.180,0.382,1.008,1.165,0.722,0.661,99.350,96.460,94.000,94.000,92.190,92.190,92.190,92.700,-1.599,1.298,-0.879,-0.406,0.501,1.245,1.687,1.608,-1.000,-0.342,-0.183,1
2010-06-04 15:00:00,65.410,0.397,0.000,1136.600,81.637,1136.600,-1.870,-5.410,-0.050,-3.960,6.290,2.579,-2.583,0.162,-0.483,-1.264,1.308,-1.708,-0.479,0.699,2.986,0.465,1.689,1.833,1.807,19.227,19.912,42.772,-0.527,0.121,0.044,2.709,2.692,4.471,4.471,-0.020,0.995,0.968,0.998,1.022,1.135,-0.432,-0.971,0.007,-0.150,0.096,0.227,0.450,0.985,1.129,0.725,0.660,98.990,95.330,94.000,94.000,92.190,92.190,92.190,92.940,-1.259,1.135,-0.816,-0.238,0.531,0.819,1.698,1.781,-1.000,-0.162,-0.156,1
2010-06-04 15:30:00,65.246,0.396,-0.500,1288.400,81.436,1288.400,-1.210,-5.210,0.040,-4.270,5.190,2.488,-2.700,0.368,-0.196,-1.501,0.581,-1.637,-0.450,0.692,2.980,0.425,1.603,1.833,1.809,19.646,21.542,54.948,-0.631,0.119,0.044,2.711,2.693,4.285,4.285,-0.013,0.998,0.968,0.998,1.022,1.135,-0.306,-1.046,0.008,-0.164,0.098,0.216,0.525,0.938,1.120,0.728,0.659,98.720,94.750,94.000,93.820,92.190,92.190,92.190,93.350,-1.479,0.539,-0.795,-0.177,0.362,0.502,1.473,1.575,-1.000,-0.145,-0.134,1
