datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,18.373,0.163,0.100,43.200,84.168,43.200,0.330,3.670,3.750,4.770,14.660,19.706,8.934,-0.919,-0.496,-0.390,2.264,1.216,0.165,1.175,2.704,0.753,4.781,4.271,3.640,91.692,89.884,79.135,0.428,0.304,0.248,1.525,1.501,64.760,64.760,0.010,0.995,1.044,1.048,1.160,1.484,-0.227,2.682,1.206,0.835,0.956,0.406,0.614,0.780,1.550,1.343,1.215,35.270,34.990,34.770,34.770,29.800,33.680,33.680,33.680,-0.336,1.774,1.334,0.370,0.778,4.847,4.394,3.866,0.509,0.336,0.129,1
2010-06-02 10:00:00,18.545,0.164,0.200,165.600,84.967,165.600,0.310,4.530,4.020,4.810,15.190,19.881,8.868,0.675,-0.336,-0.011,2.814,1.612,0.239,1.180,2.704,0.785,4.776,4.271,3.638,96.947,96.283,97.653,0.427,0.304,0.250,1.523,1.500,65.557,65.557,0.009,0.997,1.042,1.050,1.161,1.484,0.016,2.607,1.209,0.819,0.953,0.336,0.662,0.786,1.560,1.346,1.205,35.270,35.100,35.100,35.100,29.800,33.680,33.680,34.090,-0.058,1.978,1.366,0.464,0.713,3.455,3.372,3.346,0.765,0.441,0.197,1
2010-06-02 10:30:00,18.785,0.166,-0.300,441.600,86.081,441.600,0.570,4.930,4.470,5.240,15.280,20.091,8.937,2.070,0.017,-0.044,1.322,1.765,0.364,1.185,2.704,0.876,4.769,4.271,3.638,99.385,99.259,97.801,0.428,0.306,0.254,1.530,1.504,68.854,68.854,0.016,1.000,1.042,1.052,1.161,1.484,0.227,2.568,1.222,0.813,0.954,0.218,0.728,0.845,1.582,1.359,1.208,35.660,35.660,35.660,35.660,29.800,33.680,33.680,34.800,-0.112,1.436,1.413,0.602,0.963,6.310,4.948,4.250,0.771,0.455,0.220,1
2010-06-02 11:00:00,18.751,0.166,0.000,496.000,85.936,496.000,0.860,5.300,4.100,5.430,15.350,20.309,9.012,2.681,0.398,-0.049,0.492,1.940,0.258,1.190,2.704,0.860,4.767,4.272,3.638,98.014,97.611,92.929,0.429,0.308,0.260,1.537,1.508,71.841,71.841,0.025,1.004,1.041,1.054,1.162,1.484,0.362,2.556,1.233,0.811,0.955,0.183,0.722,0.849,1.567,1.357,1.203,35.660,35.660,35.660,35.660,29.800,33.680,33.680,35.490,-0.082,0.406,1.415,0.468,0.920,5.329,4.281,3.626,0.741,0.425,0.371,1
2010-06-02 11:30:00,19.009,0.168,0.200,737.600,87.122,737.600,1.570,5.860,4.840,5.920,15.890,20.565,9.223,2.827,0.927,0.294,0.463,2.166,0.472,1.196,2.704,0.863,4.755,4.278,3.643,99.590,99.510,98.661,0.445,0.312,0.261,1.548,1.514,76.130,76.130,0.046,1.009,1.041,1.056,1.162,1.484,0.494,2.625,1.251,0.817,0.958,0.153,0.709,0.893,1.582,1.370,1.206,35.990,35.990,35.990,35.990,29.800,33.680,33.680,35.500,0.176,0.408,1.422,0.678,0.883,5.618,4.493,3.751,0.118,0.109,0.005,1
2010-06-02 12:00:00,18.923,0.167,0.100,811.200,86.734,811.200,1.410,5.510,4.580,5.690,15.650,20.809,9.441,2.920,1.551,0.205,0.201,1.971,0.403,1.202,2.704,0.860,4.749,4.285,3.648,97.922,97.523,93.362,0.447,0.316,0.263,1.560,1.520,79.579,79.579,0.041,1.016,1.042,1.058,1.163,1.484,0.631,2.683,1.273,0.822,0.962,0.164,0.627,0.888,1.590,1.370,1.202,35.990,35.990,35.990,35.990,29.800,33.680,34.090,35.760,0.133,0.178,1.430,0.583,0.832,5.295,4.328,3.562,0.145,0.132,0.025,1
2010-06-02 12:30:00,18.923,0.167,0.300,876.800,86.734,876.800,1.220,5.570,4.200,5.690,15.630,21.049,9.634,2.464,1.880,0.200,-0.702,1.979,0.291,1.208,2.705,0.865,4.740,4.287,3.652,96.793,96.177,89.755,0.454,0.319,0.268,1.572,1.526,82.097,82.097,0.035,1.019,1.042,1.060,1.163,1.484,0.608,2.737,1.278,0.823,0.965,0.074,0.446,0.861,1.595,1.361,1.201,35.990,35.990,35.990,35.890,29.800,33.680,34.800,35.700,0.168,-0.817,1.407,0.448,0.818,6.022,5.015,4.072,0.448,0.161,0.124,1
2010-06-02 13:00:00,18.906,0.167,-0.100,897.600,86.662,897.600,1.190,5.350,4.300,5.540,15.750,21.279,9.830,2.183,1.993,0.167,-0.439,1.848,0.327,1.214,2.705,0.867,4.727,4.290,3.656,97.832,97.415,93.074,0.467,0.322,0.268,1.584,1.532,84.223,84.223,0.034,1.020,1.042,1.062,1.163,1.484,0.578,2.797,1.284,0.823,0.969,0.046,0.393,0.861,1.594,1.358,1.197,35.990,35.990,35.990,35.890,29.800,33.680,35.490,35.700,0.138,-0.405,1.443,0.452,0.930,5.287,4.496,3.766,0.462,0.170,0.130,1
2010-06-02 13:30:00,18.958,0.168,0.000,961.600,86.880,961.600,1.470,5.440,4.360,6.130,15.600,21.516,10.050,1.947,1.805,0.209,-0.290,1.865,0.347,1.220,2.706,0.858,4.686,4.293,3.661,98.238,97.900,94.372,0.492,0.325,0.268,1.595,1.539,86.141,86.141,0.043,1.018,1.043,1.064,1.164,1.484,0.602,2.893,1.289,0.827,0.973,0.045,0.278,0.864,1.618,1.359,1.183,35.990,35.990,35.990,35.890,29.800,33.680,35.500,35.800,0.160,-0.393,1.435,0.437,0.923,4.702,4.515,3.835,0.291,0.142,0.121,1
2010-06-02 14:00:00,18.940,0.168,-0.100,1008.800,86.807,1008.800,1.470,4.940,4.450,5.780,15.680,21.739,10.279,1.661,1.637,0.141,-0.316,1.601,0.381,1.227,2.706,0.857,4.659,4.299,3.666,98.103,97.738,93.939,0.519,0.328,0.268,1.606,1.545,87.803,87.803,0.043,1.016,1.043,1.066,1.164,1.484,0.635,2.976,1.308,0.832,0.976,0.059,0.274,0.867,1.613,1.358,1.182,35.990,35.990,35.990,35.890,29.800,33.680,35.700,35.800,0.092,-0.344,1.477,0.523,0.908,4.593,4.533,3.651,0.331,0.098,0.077,0
2010-06-02 14:30:00,18.889,0.167,0.000,1081.600,86.589,1081.600,1.630,4.940,4.140,6.030,15.590,21.938,10.527,1.171,1.223,0.125,-0.682,1.593,0.293,1.233,2.707,0.849,4.647,4.307,3.670,96.838,96.230,89.899,0.530,0.331,0.267,1.618,1.551,89.259,89.259,0.048,1.012,1.045,1.067,1.165,1.484,0.661,3.042,1.329,0.841,0.980,0.065,0.187,0.854,1.607,1.360,1.182,35.990,35.990,35.890,35.890,29.800,33.680,35.670,35.670,0.114,-0.970,1.455,0.402,0.807,4.669,4.804,3.720,0.336,0.086,0.135,0
2010-06-02 15:00:00,19.009,0.168,0.300,1183.200,87.122,1183.200,2.090,5.720,4.480,5.840,15.800,22.172,10.884,0.784,0.820,0.179,-0.310,1.942,0.397,1.240,2.708,0.796,4.620,4.323,3.681,99.322,99.192,97.835,0.562,0.335,0.266,1.629,1.557,90.812,90.812,0.062,1.008,1.046,1.069,1.165,1.484,0.778,3.156,1.355,0.854,0.985,0.101,0.216,0.800,1.604,1.362,1.182,35.990,35.990,35.990,35.990,29.800,33.680,35.670,35.670,0.150,-0.488,1.463,0.515,0.681,5.344,5.264,3.903,0.477,0.188,0.346,0
