datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,215.293,0.346,-0.000,2.425,197.808,9.700,-3.270,16.450,34.520,38.000,138.260,16.382,3.391,-0.388,-0.118,-0.866,-1.294,0.526,0.383,13.115,28.410,0.160,1.967,1.736,1.483,76.054,60.720,22.481,0.399,0.365,0.118,8.588,8.917,35.000,35.000,-0.007,0.999,1.001,1.055,1.137,1.291,-0.098,1.151,0.752,0.407,0.538,0.328,0.524,0.607,1.328,1.022,1.003,489.010,480.040,479.380,478.040,458.250,475.740,475.740,475.740,-1.016,-1.647,0.752,0.143,0.149,1.764,1.661,1.457,0.238,0.273,0.159,1
2010-06-02 10:00:00,214.869,0.345,0.200,8.350,197.421,33.400,-3.620,14.740,35.530,32.870,135.250,16.386,3.257,-0.543,-0.188,-0.889,-0.185,0.397,0.420,13.150,28.411,0.185,1.983,1.719,1.482,72.421,50.249,12.263,0.393,0.366,0.115,8.540,8.890,30.523,30.523,-0.008,0.998,1.000,1.055,1.137,1.291,-0.121,1.118,0.764,0.405,0.541,0.185,0.563,0.588,1.294,1.021,1.000,489.010,479.920,479.210,477.280,462.260,474.130,474.130,474.130,-0.994,-0.175,0.570,0.179,0.135,1.967,1.467,1.437,0.259,0.408,0.212,1
2010-06-02 10:30:00,214.451,0.345,-0.100,10.575,197.039,42.300,-4.000,11.140,32.720,31.400,132.530,16.376,3.129,-0.692,-0.280,-1.085,-1.016,0.131,0.319,13.185,28.412,0.181,1.994,1.712,1.483,72.233,44.149,11.358,0.384,0.367,0.112,8.497,8.866,26.931,26.931,-0.008,0.997,0.999,1.056,1.137,1.290,-0.136,1.072,0.770,0.404,0.543,0.079,0.592,0.578,1.252,1.020,0.990,489.010,479.920,479.140,475.740,463.680,474.080,474.080,474.080,-0.982,-1.194,0.323,0.117,0.205,1.957,1.567,1.321,-0.399,-0.063,-0.200,1
2010-06-02 11:00:00,214.306,0.344,0.000,11.350,196.907,45.400,-4.520,10.530,32.180,31.200,135.050,16.359,3.000,-0.657,-0.362,-0.998,-0.507,0.083,0.298,13.218,28.413,0.180,1.999,1.710,1.485,71.299,41.081,3.139,0.370,0.369,0.108,8.455,8.842,23.797,23.797,-0.009,0.996,0.998,1.056,1.137,1.290,-0.136,1.017,0.772,0.401,0.545,0.032,0.602,0.542,1.212,1.017,0.988,489.010,479.920,478.780,474.990,464.560,474.080,474.080,474.080,-0.863,-0.353,0.258,0.105,0.247,2.033,1.739,1.425,-0.130,0.219,-0.051,0
2010-06-02 11:30:00,214.324,0.344,-0.000,12.375,196.923,49.500,-5.170,8.710,33.260,32.430,134.640,16.339,2.852,-0.590,-0.409,-1.097,0.419,-0.053,0.335,13.250,28.414,0.167,2.001,1.709,1.488,71.461,37.232,4.566,0.355,0.371,0.103,8.413,8.818,20.583,20.583,-0.011,0.996,0.997,1.056,1.138,1.290,-0.154,0.953,0.773,0.396,0.545,0.021,0.560,0.503,1.206,1.016,0.986,489.010,479.920,478.040,474.720,465.890,474.080,474.080,474.190,-0.834,0.806,0.075,0.127,0.150,2.123,1.938,1.600,-0.081,0.247,-0.030,1
2010-06-02 12:00:00,214.463,0.345,0.000,14.350,197.052,57.400,-5.030,7.580,35.130,33.230,135.840,16.314,2.700,-0.525,-0.415,-0.986,1.187,-0.138,0.400,13.280,28.415,0.169,1.993,1.705,1.490,71.759,34.902,13.280,0.337,0.374,0.098,8.379,8.797,17.894,17.894,-0.010,0.996,0.996,1.056,1.138,1.290,-0.174,0.882,0.776,0.392,0.546,0.037,0.328,0.476,1.191,1.015,0.984,489.010,479.920,477.280,474.560,467.150,473.670,473.670,473.670,-0.734,1.151,-0.027,0.164,0.156,2.240,1.925,1.600,-0.033,0.285,0.044,1
2010-06-02 12:30:00,214.469,0.345,-0.000,16.100,197.056,64.400,-5.120,6.090,36.410,27.920,136.720,16.282,2.549,-0.413,-0.399,-0.962,1.157,-0.248,0.445,13.310,28.416,0.169,1.973,1.701,1.493,72.051,34.309,16.329,0.315,0.377,0.098,8.343,8.776,15.739,15.739,-0.011,0.996,0.995,1.056,1.138,1.290,-0.173,0.804,0.780,0.386,0.547,0.049,0.179,0.473,1.158,1.012,0.973,489.010,479.530,475.740,474.730,467.150,473.670,473.670,473.670,-0.720,1.240,-0.132,0.206,0.122,2.121,1.853,1.583,-0.061,0.293,0.013,1
2010-06-02 13:00:00,215.223,0.346,-0.100,27.425,197.758,109.700,-3.120,7.870,37.610,29.690,138.790,16.254,2.424,-0.209,-0.311,-0.841,2.025,-0.125,0.482,13.338,28.417,0.196,1.944,1.695,1.493,76.048,43.702,53.587,0.290,0.380,0.103,8.302,8.752,14.468,14.468,-0.007,0.997,0.994,1.056,1.138,1.289,-0.143,0.731,0.785,0.376,0.549,0.154,0.225,0.519,1.172,1.018,0.967,489.010,479.210,477.310,477.310,467.150,473.670,473.670,474.510,-0.599,1.446,-0.032,0.229,0.220,2.237,2.018,1.691,-0.317,0.125,-0.049,1
2010-06-02 13:30:00,214.538,0.345,0.000,29.275,197.127,117.100,-4.310,5.580,36.090,26.240,134.240,16.222,2.293,-0.099,-0.228,-0.960,0.619,-0.292,0.429,13.366,28.418,0.209,1.911,1.694,1.493,72.356,35.026,20.780,0.260,0.382,0.109,8.258,8.726,13.163,13.163,-0.009,0.998,0.993,1.056,1.138,1.289,-0.123,0.657,0.786,0.365,0.549,0.162,0.230,0.505,1.183,1.019,0.947,489.010,479.140,477.310,477.310,467.150,473.670,473.670,474.530,-0.638,0.917,-0.183,0.173,0.245,2.269,2.063,1.699,-0.304,0.140,-0.065,1
2010-06-02 14:00:00,214.562,0.345,0.000,30.425,197.152,121.700,-4.200,5.540,36.400,23.350,134.300,16.187,2.156,-0.120,-0.146,-1.013,-0.651,-0.298,0.438,13.392,28.418,0.208,1.875,1.693,1.490,72.246,34.767,20.439,0.226,0.385,0.115,8.213,8.700,11.895,11.895,-0.009,0.999,0.992,1.056,1.139,1.289,-0.136,0.580,0.787,0.352,0.548,0.038,0.243,0.492,1.197,1.019,0.926,489.010,478.870,477.310,475.680,467.150,473.670,473.670,474.680,-0.815,-0.518,-0.161,0.209,0.154,1.541,1.610,1.453,-0.232,0.198,-0.024,1
2010-06-02 14:30:00,214.393,0.345,-0.000,31.750,196.994,127.000,-3.420,7.080,35.080,25.940,133.330,16.157,2.027,-0.100,-0.072,-1.074,0.261,-0.191,0.388,13.417,28.419,0.207,1.843,1.695,1.489,71.759,32.640,18.230,0.189,0.387,0.121,8.161,8.670,10.862,10.862,-0.007,0.999,0.991,1.056,1.139,1.288,-0.136,0.510,0.784,0.340,0.548,0.034,0.270,0.456,1.203,1.019,0.909,489.010,478.120,477.310,474.830,467.720,473.670,473.670,474.420,-0.789,0.312,-0.067,0.184,0.245,1.730,1.721,1.466,0.219,0.281,0.039,1
2010-06-02 15:00:00,214.208,0.344,-0.000,33.550,196.823,134.200,-3.770,6.030,36.250,26.570,132.860,16.126,1.903,-0.081,-0.008,-1.116,-0.161,-0.270,0.430,13.441,28.419,0.206,1.811,1.696,1.489,71.227,30.562,13.442,0.147,0.389,0.130,8.101,8.636,9.996,9.996,-0.008,1.000,0.990,1.056,1.139,1.288,-0.124,0.443,0.783,0.327,0.547,0.052,0.319,0.385,1.204,1.016,0.901,489.010,477.310,477.310,474.740,467.720,473.670,474.010,474.010,-0.781,-0.354,-0.093,0.227,0.167,1.727,1.826,1.506,-0.211,0.172,-0.076,1
2010-06-02 15:30:00,214.289,0.344,0.000,40.250,196.902,161.000,-2.330,4.360,36.180,23.980,132.510,16.091,1.807,-0.083,0.013,-1.084,0.191,-0.392,0.425,13.463,28.420,0.182,1.768,1.693,1.487,70.764,21.223,13.553,0.098,0.393,0.139,8.030,8.596,9.551,9.551,-0.005,1.000,0.990,1.055,1.139,1.288,-0.092,0.379,0.788,0.317,0.547,0.218,0.619,0.259,1.292,1.014,0.810,489.010,477.310,477.310,474.750,471.250,473.670,474.010,474.010,-0.800,0.184,-0.195,0.202,0.191,1.356,1.751,1.502,-0.098,0.162,-0.078,1
2010-06-03 09:30:00,214.742,0.345,0.100,5.200,197.318,20.800,-1.180,-1.850,35.040,29.100,130.900,16.063,1.759,-0.057,0.032,-0.991,0.825,-0.833,0.379,13.474,28.420,0.179,1.744,1.692,1.487,70.585,6.714,28.297,0.095,0.393,0.141,7.995,8.576,9.322,9.322,-0.002,1.000,0.990,1.055,1.139,1.288,-0.080,0.345,0.788,0.313,0.546,0.259,0.648,0.278,1.278,1.012,0.793,489.010,477.310,477.310,475.200,473.670,473.670,474.010,474.010,-0.960,0.994,-0.503,0.172,0.236,0.546,1.651,1.446,-0.111,0.290,0.219,1
2010-06-03 10:00:00,214.852,0.345,-0.000,11.875,197.417,47.500,-0.010,-3.720,33.430,27.200,131.000,15.994,1.708,0.024,-0.004,-0.930,1.280,-0.961,0.318,13.495,28.420,0.144,1.673,1.693,1.484,71.760,11.213,47.253,0.083,0.391,0.142,7.926,8.537,10.392,10.392,-0.000,1.000,0.990,1.055,1.140,1.287,-0.030,0.280,0.784,0.307,0.544,0.346,0.500,0.297,1.228,1.009,0.787,489.010,477.310,475.600,475.600,473.670,473.670,474.010,474.030,-0.938,1.677,-0.607,0.141,0.165,0.593,1.486,1.390,-0.110,0.340,0.268,1
2010-06-03 10:30:00,214.219,0.344,0.000,14.800,196.840,59.200,-0.480,-7.590,32.480,27.390,126.960,15.917,1.651,0.038,-0.012,-1.007,-1.433,-1.225,0.284,13.516,28.420,0.159,1.612,1.693,1.481,68.795,3.129,13.187,0.062,0.391,0.143,7.858,8.498,11.180,11.180,-0.001,1.000,0.990,1.055,1.140,1.287,0.007,0.219,0.784,0.303,0.542,0.228,0.540,0.315,1.179,1.010,0.786,489.010,477.310,475.690,475.690,473.670,473.670,473.890,473.890,-1.109,-1.663,-0.677,0.147,0.177,0.361,1.570,1.305,-1.000,-0.049,-0.163,0
2010-06-03 11:00:00,214.643,0.345,0.200,18.225,197.230,72.900,0.780,-7.430,31.410,29.850,126.260,15.836,1.598,-0.021,-0.019,-0.945,-0.560,-1.209,0.241,13.535,28.420,0.163,1.549,1.694,1.479,69.579,5.563,23.443,0.039,0.391,0.145,7.791,8.459,11.791,11.791,0.002,1.000,0.990,1.054,1.140,1.287,0.003,0.160,0.782,0.301,0.539,0.142,0.559,0.343,1.156,1.009,0.785,489.010,477.310,475.690,475.690,473.670,473.670,473.890,473.890,-1.148,-0.920,-0.760,0.094,0.127,0.458,1.744,1.392,-0.498,0.209,0.034,0
2010-06-03 11:30:00,213.947,0.344,-0.000,20.675,196.591,82.700,-0.800,-10.810,31.730,28.930,122.620,15.749,1.537,-0.074,-0.031,-1.130,-0.695,-1.438,0.254,13.553,28.420,0.170,1.479,1.695,1.476,67.724,0.456,1.923,0.009,0.387,0.148,7.726,8.421,11.826,11.826,-0.002,1.000,0.991,1.053,1.140,1.287,-0.003,0.099,0.779,0.298,0.535,0.127,0.563,0.364,1.126,1.006,0.783,489.010,477.310,475.690,475.080,473.450,473.450,473.450,473.450,-1.342,-0.729,-0.789,0.129,0.114,0.639,1.952,1.579,-0.610,0.170,0.014,0
