datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,12.708,0.088,0.400,35.700,279.947,35.700,2.580,-1.760,6.310,-0.030,-23.090,-6.332,0.722,0.034,-0.084,0.635,1.717,-0.322,0.811,-4.016,-6.978,0.330,0.828,1.656,1.472,69.001,50.122,85.435,-0.273,0.006,0.028,4.327,4.646,58.473,58.473,0.012,0.999,0.996,1.010,0.923,0.912,0.104,-0.342,0.176,-0.025,-0.128,0.330,0.536,1.069,1.098,1.164,0.808,214.100,211.500,211.500,211.500,207.250,208.540,208.540,208.780,0.440,1.866,-0.447,0.817,0.379,0.990,1.339,1.206,-0.236,0.263,0.286,0
2010-06-02 10:00:00,12.686,0.088,-0.100,56.100,279.471,56.100,1.430,-1.860,6.630,-0.670,-21.980,-6.328,0.760,0.433,0.035,0.482,1.929,-0.344,0.844,-3.992,-6.977,0.353,0.828,1.653,1.469,72.768,59.465,92.470,-0.272,0.009,0.032,4.306,4.633,61.867,61.867,0.007,1.000,0.997,1.010,0.923,0.912,0.119,-0.342,0.192,-0.021,-0.128,0.301,0.604,0.977,1.098,1.170,0.809,214.100,211.550,211.550,211.550,207.250,208.540,208.580,209.050,0.287,1.722,-0.536,0.825,0.380,1.030,1.250,1.225,-0.053,0.357,0.192,1
2010-06-02 10:30:00,12.670,0.088,0.000,67.400,279.113,67.400,0.110,-1.590,6.180,-0.710,-24.220,-6.329,0.754,0.634,0.170,0.500,-0.850,-0.302,0.807,-3.969,-6.975,0.344,0.830,1.648,1.465,70.100,52.847,77.409,-0.268,0.013,0.037,4.285,4.620,62.759,62.759,0.001,1.002,0.997,1.010,0.924,0.912,0.082,-0.338,0.203,-0.019,-0.130,0.098,0.659,0.891,1.111,1.173,0.800,214.100,211.550,211.550,211.550,207.250,208.540,208.780,210.560,0.329,-0.795,-0.474,0.832,0.374,1.142,1.541,1.380,-0.091,0.060,0.033,1
2010-06-02 11:00:00,12.683,0.088,0.100,72.200,279.418,72.200,1.160,-1.130,8.120,0.110,-28.400,-6.328,0.751,0.496,0.267,0.403,-0.140,-0.224,0.988,-3.945,-6.973,0.333,0.833,1.640,1.463,70.591,54.063,80.177,-0.265,0.017,0.042,4.265,4.607,63.978,63.978,0.006,1.003,0.997,1.010,0.924,0.912,0.043,-0.334,0.218,-0.016,-0.133,0.054,0.675,0.822,1.115,1.166,0.797,214.100,211.550,211.550,211.100,207.250,208.540,208.780,210.380,0.195,-0.224,-0.286,1.080,0.286,0.829,1.209,1.380,-0.345,-0.058,-0.076,1
2010-06-02 11:30:00,12.675,0.088,0.000,74.900,279.246,74.900,1.390,-1.400,7.350,0.400,-26.530,-6.325,0.769,0.490,0.311,0.364,-0.058,-0.275,0.920,-3.921,-6.970,0.331,0.840,1.634,1.462,70.865,54.745,81.728,-0.257,0.023,0.049,4.245,4.594,66.380,66.380,0.007,1.003,0.998,1.010,0.925,0.912,0.072,-0.321,0.234,-0.014,-0.137,0.026,0.586,0.786,1.124,1.166,0.790,214.100,211.550,211.550,211.150,207.250,208.540,208.780,210.380,0.225,-0.215,-0.376,0.986,0.328,0.910,1.340,1.368,-0.358,0.192,0.096,1
2010-06-02 12:00:00,12.645,0.088,-0.100,80.300,278.584,80.300,1.160,-2.450,6.760,-1.630,-28.290,-6.329,0.794,0.401,0.364,0.240,-0.973,-0.464,0.869,-3.897,-6.968,0.330,0.845,1.627,1.460,67.942,47.494,65.227,-0.256,0.030,0.056,4.225,4.582,68.796,68.796,0.006,1.004,0.999,1.009,0.925,0.912,0.098,-0.315,0.251,-0.013,-0.140,0.029,0.475,0.758,1.134,1.167,0.784,214.100,211.550,211.550,211.150,207.250,208.540,209.050,210.430,0.119,-0.753,-0.463,0.829,0.368,0.770,1.882,1.524,-0.374,0.041,0.021,1
2010-06-02 12:30:00,12.670,0.088,-0.000,83.700,279.126,83.700,1.620,-1.490,7.620,-2.280,-29.550,-6.330,0.827,0.320,0.383,0.381,-0.387,-0.297,0.950,-3.874,-6.965,0.332,0.855,1.621,1.457,70.335,53.431,78.738,-0.251,0.038,0.064,4.206,4.569,71.482,71.482,0.008,1.004,0.999,1.009,0.925,0.912,0.112,-0.303,0.268,-0.013,-0.145,0.033,0.180,0.732,1.143,1.168,0.777,214.100,211.550,211.550,211.010,207.250,208.540,210.380,210.430,0.240,-0.412,-0.358,0.894,0.348,0.807,1.732,1.512,-0.379,-0.204,-0.179,1
2010-06-02 13:00:00,12.651,0.088,-0.000,85.200,278.703,85.200,1.430,-2.220,7.350,-3.850,-28.470,-6.332,0.859,0.300,0.285,0.381,-0.201,-0.429,0.927,-3.850,-6.963,0.333,0.864,1.614,1.451,68.825,49.684,70.210,-0.249,0.045,0.073,4.187,4.557,73.917,73.917,0.007,1.003,1.000,1.009,0.926,0.912,0.123,-0.293,0.287,-0.017,-0.150,0.020,0.117,0.689,1.146,1.169,0.772,214.100,211.550,211.150,211.010,207.250,208.540,210.380,210.560,0.276,-0.226,-0.410,0.842,0.366,0.849,1.712,1.517,-0.391,0.018,-0.025,1
2010-06-02 13:30:00,12.664,0.088,-0.100,89.300,279.007,89.300,2.120,-1.310,7.440,-1.970,-30.000,-6.331,0.914,0.205,0.205,0.556,-0.493,-0.269,0.937,-3.826,-6.960,0.323,0.879,1.606,1.444,70.532,53.917,78.864,-0.236,0.053,0.081,4.167,4.544,76.828,76.828,0.010,1.002,1.001,1.009,0.926,0.912,0.145,-0.271,0.308,-0.021,-0.154,0.023,0.090,0.674,1.159,1.170,0.761,214.100,211.550,211.150,211.020,207.250,208.720,210.380,210.430,0.390,-0.369,-0.343,0.858,0.290,1.011,1.990,1.673,-0.415,-0.195,-0.148,1
2010-06-02 14:00:00,12.651,0.088,0.000,91.300,278.716,91.300,1.260,-0.630,7.760,0.370,-32.190,-6.329,0.941,0.131,0.144,0.390,-0.356,-0.150,0.970,-3.802,-6.957,0.319,0.875,1.597,1.442,68.766,49.538,67.268,-0.219,0.061,0.089,4.145,4.530,78.594,78.594,0.006,1.001,1.002,1.009,0.927,0.912,0.140,-0.237,0.327,-0.019,-0.161,0.027,0.084,0.645,1.156,1.168,0.745,214.100,211.550,211.150,211.020,207.250,208.780,210.430,210.430,0.220,-0.158,-0.144,0.879,0.306,0.714,2.015,1.661,-0.410,-0.129,-0.104,1
