datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,60.951,0.481,0.400,50.000,95.940,50.000,6.050,10.790,10.260,6.660,17.100,2.038,8.449,1.872,1.324,1.290,-0.622,3.159,0.943,-0.253,1.122,0.826,2.841,2.508,2.142,96.846,96.653,93.418,0.658,0.500,0.421,3.089,2.786,96.950,96.950,0.070,1.013,1.060,1.013,1.001,1.036,1.128,2.053,0.878,0.272,0.388,0.151,0.380,1.818,2.107,1.160,0.748,92.940,92.940,92.940,92.940,80.490,86.820,90.850,92.170,0.696,-0.631,1.482,0.607,0.793,3.936,3.162,2.473,0.634,0.495,0.280,1
2010-06-02 10:00:00,60.788,0.479,-0.100,79.600,95.691,79.600,4.990,11.440,9.320,6.030,17.110,2.233,8.853,1.350,0.992,1.406,-0.847,3.300,0.820,-0.238,1.120,0.830,2.881,2.538,2.171,96.568,96.359,91.892,0.659,0.503,0.422,3.132,2.810,97.304,97.304,0.057,1.010,1.062,1.015,1.001,1.036,1.040,2.140,0.943,0.295,0.391,0.066,0.400,1.719,2.093,1.157,0.748,92.940,92.940,92.940,92.660,80.490,87.390,90.850,92.290,0.904,-0.569,1.482,0.586,0.862,2.641,2.505,2.106,1.000,0.797,0.581,1
2010-06-02 10:30:00,60.978,0.481,0.000,129.600,95.991,129.600,4.540,11.730,9.560,6.190,16.410,2.434,9.231,0.986,0.761,1.375,-0.688,3.298,0.853,-0.223,1.119,0.830,2.906,2.566,2.194,97.855,97.724,94.160,0.661,0.508,0.424,3.166,2.830,97.588,97.588,0.052,1.008,1.065,1.017,1.002,1.036,0.933,2.226,0.998,0.314,0.394,0.044,0.411,1.611,2.106,1.157,0.748,92.940,92.940,92.940,92.750,80.490,88.220,90.850,92.330,0.825,-0.715,1.471,0.638,0.780,2.876,2.643,2.142,1.000,0.677,0.509,1
2010-06-02 11:00:00,61.005,0.481,0.000,164.000,96.033,164.000,1.980,12.140,9.600,6.610,16.740,2.638,9.415,0.760,0.671,1.425,-0.311,3.346,0.863,-0.207,1.118,0.643,2.887,2.567,2.199,98.057,97.938,90.340,0.670,0.515,0.427,3.170,2.835,97.741,97.741,0.022,1.007,1.065,1.019,1.003,1.037,0.716,2.290,1.035,0.327,0.394,0.061,0.407,1.241,2.095,1.161,0.749,92.940,92.940,92.940,92.750,80.490,90.430,91.910,92.380,1.122,0.093,1.421,0.647,0.707,0.994,2.009,1.805,1.000,0.647,0.437,1
2010-06-02 11:30:00,61.522,0.485,0.600,326.800,96.851,326.800,3.000,12.850,10.430,7.360,17.740,2.850,9.516,0.720,0.587,1.638,0.582,3.450,0.972,-0.190,1.117,0.592,2.821,2.565,2.199,99.420,99.384,96.946,0.682,0.522,0.431,3.161,2.833,97.847,97.847,0.033,1.006,1.065,1.021,1.003,1.037,0.451,2.368,1.059,0.336,0.393,0.146,0.434,1.184,2.108,1.180,0.757,93.500,93.500,93.500,93.500,80.620,90.430,92.170,92.380,1.197,0.927,1.428,0.776,0.622,0.770,2.172,1.998,1.000,0.763,0.544,1
2010-06-02 12:00:00,61.359,0.484,0.000,372.800,96.592,372.800,2.620,12.350,10.540,7.150,17.750,3.063,9.645,0.873,0.490,1.539,0.265,3.224,0.996,-0.172,1.117,0.592,2.766,2.564,2.200,98.499,98.395,92.607,0.696,0.532,0.438,3.159,2.834,97.969,97.969,0.029,1.005,1.065,1.023,1.004,1.038,0.406,2.444,1.089,0.347,0.394,0.162,0.326,1.125,2.118,1.184,0.758,93.500,93.500,93.500,93.500,80.620,90.850,92.290,92.710,1.247,0.552,1.452,0.737,0.587,0.884,2.059,1.956,1.000,0.769,0.551,1
2010-06-02 12:30:00,61.630,0.486,0.300,416.000,97.027,416.000,1.970,12.730,10.920,7.440,17.610,3.276,9.700,0.929,0.482,1.695,-0.293,3.247,1.049,-0.154,1.116,0.532,2.709,2.560,2.198,98.814,98.732,93.836,0.710,0.542,0.445,3.151,2.833,98.051,98.051,0.021,1.005,1.064,1.025,1.005,1.038,0.371,2.507,1.109,0.353,0.392,0.076,0.313,1.012,2.124,1.189,0.760,93.670,93.670,93.670,93.670,80.620,90.850,92.330,93.130,1.300,-0.393,1.455,0.749,0.568,2.221,2.558,2.275,0.702,0.528,0.393,1
2010-06-02 13:00:00,61.386,0.484,-0.100,444.800,96.644,444.800,1.510,12.400,10.390,6.810,17.790,3.488,9.756,0.860,0.493,1.494,-0.413,3.093,0.984,-0.135,1.116,0.533,2.643,2.555,2.197,97.920,97.778,89.716,0.726,0.553,0.454,3.146,2.833,98.134,98.134,0.016,1.005,1.063,1.027,1.006,1.039,0.305,2.573,1.131,0.358,0.390,0.062,0.317,0.995,2.124,1.192,0.762,93.670,93.670,93.670,93.670,80.620,90.850,92.380,93.130,1.162,-0.437,1.462,0.671,0.517,2.096,2.552,2.248,1.000,0.766,0.562,1
2010-06-02 13:30:00,61.168,0.482,0.000,476.800,96.302,476.800,1.720,12.070,9.810,7.040,17.670,3.698,9.795,0.583,0.433,1.814,-1.676,2.944,0.912,-0.116,1.116,0.542,2.562,2.552,2.195,94.572,94.202,73.168,0.742,0.565,0.463,3.141,2.833,98.204,98.204,0.019,1.004,1.062,1.029,1.006,1.039,0.283,2.640,1.147,0.363,0.388,0.054,0.306,0.976,2.128,1.194,0.763,93.670,93.670,93.670,93.500,80.620,90.850,92.380,92.840,1.422,-1.626,1.455,0.616,0.560,2.523,2.715,2.296,0.704,0.531,0.406,1
2010-06-02 14:00:00,61.060,0.482,-0.000,504.000,96.126,504.000,1.740,11.490,9.970,6.700,17.410,3.899,9.831,0.150,0.355,1.750,-1.251,2.730,0.942,-0.096,1.117,0.533,2.497,2.547,2.194,94.165,93.768,71.158,0.758,0.577,0.472,3.136,2.833,98.274,98.274,0.019,1.004,1.061,1.031,1.007,1.039,0.258,2.697,1.166,0.369,0.386,0.054,0.309,0.946,2.129,1.197,0.764,93.670,93.670,93.670,93.260,80.620,90.850,92.710,92.760,1.607,-1.272,1.482,0.616,0.535,2.495,2.605,2.134,0.703,0.558,0.490,1
2010-06-02 14:30:00,61.196,0.483,0.100,522.000,96.343,522.000,0.970,11.650,9.890,7.460,19.260,4.096,9.786,0.027,0.300,1.671,-0.239,2.719,0.933,-0.076,1.117,0.344,2.461,2.544,2.193,94.883,94.534,59.470,0.774,0.588,0.481,3.117,2.826,98.303,98.303,0.011,1.003,1.059,1.033,1.008,1.040,0.181,2.728,1.174,0.374,0.385,0.054,0.235,0.715,2.134,1.201,0.763,93.670,93.670,93.670,93.010,80.620,91.910,92.720,92.720,1.519,-0.168,1.457,0.600,0.342,2.725,2.823,2.367,0.703,0.473,0.326,0
2010-06-02 15:00:00,61.087,0.482,-0.300,570.000,96.178,570.000,-0.090,11.900,10.050,7.250,19.010,4.300,9.731,0.071,0.211,1.586,-0.094,2.743,0.963,-0.056,1.118,0.280,2.403,2.543,2.192,95.672,95.377,59.778,0.786,0.591,0.489,3.092,2.815,98.283,98.283,-0.001,1.002,1.057,1.035,1.008,1.040,0.097,2.769,1.178,0.379,0.385,0.090,0.269,0.627,2.151,1.206,0.761,93.670,93.670,93.670,93.260,80.620,92.170,92.720,92.720,1.546,-0.068,1.476,0.720,0.328,3.445,3.171,2.514,0.473,0.370,0.267,1
